"Название товара","Ссылка на продавца","Ссылка на чат"
" campana","https://es.wallapop.com/item/campana-869477479","https://es.wallapop.com/app/chat?itemId=p61ymy341565"
"Mesa acero inoxidable para hosteleria 70 x 190 cm","https://es.wallapop.com/item/mesa-acero-inoxidable-para-hosteleria-70-x-190-cm-869473144","https://es.wallapop.com/app/chat?itemId=wzy5g583dpj5"
"MESITA SALON MADERA 1ª CALIDAD","https://es.wallapop.com/item/mesita-salon-madera-1-calidad-869473117","https://es.wallapop.com/app/chat?itemId=wzvndn81wdjl"
"Cabezal de madera","https://es.wallapop.com/item/cabezal-de-madera-869470356","https://es.wallapop.com/app/chat?itemId=qzmy0y8d31zv"
"Dron Parrot BEPOP 2, como nuevo","https://es.wallapop.com/item/dron-parrot-bepop-2-como-nuevo-869476185","https://es.wallapop.com/app/chat?itemId=pj9505pg4vze"
"Piscina desmontable Bestway ","https://es.wallapop.com/item/piscina-desmontable-bestway-869472579","https://es.wallapop.com/app/chat?itemId=p61ymy2n9765"
"Lavavajillas industrial Jemi GS-16 ","https://es.wallapop.com/item/lavavajillas-industrial-jemi-gs-16-869472499","https://es.wallapop.com/app/chat?itemId=nz00103qqezo"
"Sofa","https://es.wallapop.com/item/sofa-869472135","https://es.wallapop.com/app/chat?itemId=0j23o3d54d6y"
"televison xiaomi p1 ","https://es.wallapop.com/item/televison-xiaomi-p1-869472078","https://es.wallapop.com/app/chat?itemId=nzx0g08kyez2"
"Pack para princesita ","https://es.wallapop.com/item/pack-para-princesita-869470479","https://es.wallapop.com/app/chat?itemId=p61ymy20k265"
"patinete Mi electric Scooter Essential","https://es.wallapop.com/item/patinete-mi-electric-scooter-essential-869476929","https://es.wallapop.com/app/chat?itemId=qjwpgp5pgqzo"
"reloj","https://es.wallapop.com/item/reloj-869476813","https://es.wallapop.com/app/chat?itemId=pj9505p5x0ze"
"CHIMENEA HIERRO FUNDIDO","https://es.wallapop.com/item/chimenea-hierro-fundido-869476792","https://es.wallapop.com/app/chat?itemId=wzy5g5p5ypj5"
"Pulsera de plata","https://es.wallapop.com/item/pulsera-de-plata-869477174","https://es.wallapop.com/app/chat?itemId=pzprxrorvm63"
"MANDO PLAYSTATION 5 RAZER VOLVERINE V2 PRO","https://es.wallapop.com/item/mando-playstation-5-razer-volverine-v2-pro-869477062","https://es.wallapop.com/app/chat?itemId=4z412191mwzy"
"Moneda de dos onzas de plata ","https://es.wallapop.com/item/moneda-de-dos-onzas-de-plata-869475282","https://es.wallapop.com/app/chat?itemId=8j3ekedmd1z9"
"Ventilador caldera nuevo","https://es.wallapop.com/item/ventilador-caldera-nuevo-869475231","https://es.wallapop.com/app/chat?itemId=p61ymy3vl265"
"Barca fuera borda","https://es.wallapop.com/item/barca-fuera-borda-869475204","https://es.wallapop.com/app/chat?itemId=w67yny53n96x"
"Volkswagen Polo 1999","https://es.wallapop.com/item/volkswagen-polo-1999-869477749","https://es.wallapop.com/app/chat?itemId=mzn8781297zn"
"conjunto sillas y mesade cristal comedor","https://es.wallapop.com/item/conjunto-sillas-y-mesade-cristal-comedor-869477713","https://es.wallapop.com/app/chat?itemId=pj9505pm3kze"
"2 Colchones latex 80×190","https://es.wallapop.com/item/2-colchones-latex-80190-869477718","https://es.wallapop.com/app/chat?itemId=x6qd1d3m5qjy"
"casette leña con ventilador. buen estado 70x68x45","https://es.wallapop.com/item/casette-lena-con-ventilador-buen-estado-70x68x45-869474608","https://es.wallapop.com/app/chat?itemId=qzmy0yxg1xzv"
"chaqueta cuero belstaff ","https://es.wallapop.com/item/chaqueta-cuero-belstaff-869476496","https://es.wallapop.com/app/chat?itemId=e65gdgk3npjo"
"Mesa de cristal y 3 sillas ","https://es.wallapop.com/item/mesa-de-cristal-y-3-sillas-869476438","https://es.wallapop.com/app/chat?itemId=4z41219g9wzy"
"armario","https://es.wallapop.com/item/armario-869476000","https://es.wallapop.com/app/chat?itemId=e65gdgkyxkjo"
"conjunto mesa y sillas de jardín","https://es.wallapop.com/item/conjunto-mesa-y-sillas-de-jardin-869475985","https://es.wallapop.com/app/chat?itemId=pj9505py3kze"
"Trek Marlin 6","https://es.wallapop.com/item/trek-marlin-6-869475961","https://es.wallapop.com/app/chat?itemId=pj9505pyokze"
"Vendo mesa nueva tipo industrial.","https://es.wallapop.com/item/vendo-mesa-nueva-tipo-industrial-869475671","https://es.wallapop.com/app/chat?itemId=ejkknk74e1jx"
