"Название товара","Ссылка на продавца","Ссылка на чат"
"Silla plegable. /","https://es.wallapop.com/item/silla-plegable-871284873","https://es.wallapop.com/app/chat?itemId=mzn87el9o0zn"
"Se venden 4 puertas","https://es.wallapop.com/item/se-venden-4-puertas-871284811","https://es.wallapop.com/app/chat?itemId=0j23ogym4v6y"
"Deportivas PUMA X-RAY LITE Jr","https://es.wallapop.com/item/deportivas-puma-x-ray-lite-jr-871285690","https://es.wallapop.com/app/chat?itemId=x6qd1n9lenjy"
"Moneda de 2€ de la República Francesa","https://es.wallapop.com/item/moneda-de-2-de-la-republica-francesa-871285319","https://es.wallapop.com/app/chat?itemId=vjrrmp9ydljk"
"Chaqueta Bomber reversible","https://es.wallapop.com/item/chaqueta-bomber-reversible-871285301","https://es.wallapop.com/app/chat?itemId=mzn87ev4l2zn"
"traje mujer ski ","https://es.wallapop.com/item/traje-mujer-ski-871283525","https://es.wallapop.com/app/chat?itemId=mzn87ely42zn"
"tiene una semana esta nuevo ","https://es.wallapop.com/item/tiene-una-semana-esta-nuevo-871284226","https://es.wallapop.com/app/chat?itemId=pzprx59l2563"
"Trona","https://es.wallapop.com/item/trona-871284220","https://es.wallapop.com/app/chat?itemId=wzy5gonm45j5"
"Iphone 7","https://es.wallapop.com/item/iphone-7-871284148","https://es.wallapop.com/app/chat?itemId=e65gdryxygjo"
"CINTA DE EJERCICIOS ","https://es.wallapop.com/item/cinta-de-ejercicios-871284065","https://es.wallapop.com/app/chat?itemId=wzvndky1w7jl"
"Nerf Elite Infinus, 60€ precio negociable ","https://es.wallapop.com/item/nerf-elite-infinus-60-precio-negociable-871284603","https://es.wallapop.com/app/chat?itemId=nz0012mn5vzo"
"silla de ruedas ","https://es.wallapop.com/item/silla-de-ruedas-871285228","https://es.wallapop.com/app/chat?itemId=w67ynrdqqy6x"
"Iphone 8 Plus","https://es.wallapop.com/item/iphone-8-plus-871285215","https://es.wallapop.com/app/chat?itemId=36exmowq3kzd"
"Jordan 1 mid grey","https://es.wallapop.com/item/jordan-1-mid-grey-871286153","https://es.wallapop.com/app/chat?itemId=qjwpg1degwzo"
"Traje comunión admirante talla 10","https://es.wallapop.com/item/traje-comunion-admirante-talla-10-871286150","https://es.wallapop.com/app/chat?itemId=pzprx51yxm63"
"Torre de ducha ","https://es.wallapop.com/item/torre-de-ducha-871286124","https://es.wallapop.com/app/chat?itemId=e65gdr3v22jo"
"traje de fallera ","https://es.wallapop.com/item/traje-de-fallera-871286113","https://es.wallapop.com/app/chat?itemId=pj950rgkqkze"
"porta caza","https://es.wallapop.com/item/porta-caza-871284728","https://es.wallapop.com/app/chat?itemId=w67ynrdqd76x"
"Cazadora Dope esquí ","https://es.wallapop.com/item/cazadora-dope-esqui-871284719","https://es.wallapop.com/app/chat?itemId=vjrrmpdlkljk"
"Huawei","https://es.wallapop.com/item/huawei-871284707","https://es.wallapop.com/app/chat?itemId=p61ymeoxvd65"
"Gorra gucci ","https://es.wallapop.com/item/gorra-gucci-871283884","https://es.wallapop.com/app/chat?itemId=9jd21m73q26k"
"Maquina de coser seminueva","https://es.wallapop.com/item/maquina-de-coser-seminueva-871283850","https://es.wallapop.com/app/chat?itemId=pzprx59nx463"
"TENBOOM PATINETE PARA NIÑOS CON FRENADO","https://es.wallapop.com/item/tenboom-patinete-para-ninos-con-frenado-871285458","https://es.wallapop.com/app/chat?itemId=8j3ek2xv51z9"
"Sudadera","https://es.wallapop.com/item/sudadera-871285442","https://es.wallapop.com/app/chat?itemId=x6qd1n9l4yjy"
"silla ruedas y maquina de ejercicios.","https://es.wallapop.com/item/silla-ruedas-y-maquina-de-ejercicios-871285438","https://es.wallapop.com/app/chat?itemId=4z412rgo0wzy"
"MacBook Pro 13"" 2015","https://es.wallapop.com/item/macbook-pro-13-2015-871286303","https://es.wallapop.com/app/chat?itemId=nz0012vge7zo"
"Vestido primera comunión ","https://es.wallapop.com/item/vestido-primera-comunion-871283062","https://es.wallapop.com/app/chat?itemId=4z412rvp1wzy"
"Garmin instinct solar grafito","https://es.wallapop.com/item/garmin-instinct-solar-grafito-871283055","https://es.wallapop.com/app/chat?itemId=p61ymeory265"
"Gerónimo stilton colección libros","https://es.wallapop.com/item/geronimo-stilton-coleccion-libros-871284318","https://es.wallapop.com/app/chat?itemId=x6qd1ny5xqjy"
"Crear web para tu negocio","https://es.wallapop.com/item/crear-web-para-tu-negocio-871285006","https://es.wallapop.com/app/chat?itemId=nzx0gm53g1z2"
"iphone 11","https://es.wallapop.com/item/iphone-11-871284936","https://es.wallapop.com/app/chat?itemId=9jd21m7gvd6k"
"Consola Nintendo Control Deck","https://es.wallapop.com/item/consola-nintendo-control-deck-871283273","https://es.wallapop.com/app/chat?itemId=mzn87el57kzn"
"Paneles LED ","https://es.wallapop.com/item/paneles-led-871283247","https://es.wallapop.com/app/chat?itemId=ejkknd4lwqjx"
"Freidora Tefal","https://es.wallapop.com/item/freidora-tefal-871283189","https://es.wallapop.com/app/chat?itemId=wzvndkymk4jl"
"Dormitorio de matrimonio y comedor","https://es.wallapop.com/item/dormitorio-de-matrimonio-y-comedor-871283177","https://es.wallapop.com/app/chat?itemId=qjwpg1yoqwzo"
"Traje de flamenca niña ","https://es.wallapop.com/item/traje-de-flamenca-nina-871283664","https://es.wallapop.com/app/chat?itemId=v6g23k49pmze"
"Mesa de centro blanca","https://es.wallapop.com/item/mesa-de-centro-blanca-871283636","https://es.wallapop.com/app/chat?itemId=9jd21m732l6k"
"Abrigos de invierno para mujeres","https://es.wallapop.com/item/abrigos-de-invierno-para-mujeres-871283621","https://es.wallapop.com/app/chat?itemId=3zl1pdgq18jx"
