"Название товара","Ссылка на продавца","Ссылка на чат"
"vendo estufa de pellets","https://es.wallapop.com/item/vendo-estufa-de-pellets-869632785","https://es.wallapop.com/app/chat?itemId=pj950mgegvze"
"Nintendo Switch Oled + Pokemon Arceus","https://es.wallapop.com/item/nintendo-switch-oled---pokemon-arceus-869632787","https://es.wallapop.com/app/chat?itemId=36exm1nvnvzd"
"escalera con plataforma","https://es.wallapop.com/item/escalera-con-plataforma-869632667","https://es.wallapop.com/app/chat?itemId=vjrrmq9pnxjk"
"RUBÍ cortadora Azulejos","https://es.wallapop.com/item/rubi-cortadora-azulejos-869632617","https://es.wallapop.com/app/chat?itemId=wzvnd4lkmqjl"
"Butacas clasicas","https://es.wallapop.com/item/butacas-clasicas-869632523","https://es.wallapop.com/app/chat?itemId=ejkkn89d7rjx"
"Samsung A52 5G","https://es.wallapop.com/item/samsung-a52-5g-869630548","https://es.wallapop.com/app/chat?itemId=e65gd837qgjo"
"PC gaming con Rayzen 5 5700 y 16gb","https://es.wallapop.com/item/pc-gaming-con-rayzen-5-5700-y-16gb-869630056","https://es.wallapop.com/app/chat?itemId=qzmy0e3mpxzv"
"tija leonardi super ligera carbono y sillin selle ","https://es.wallapop.com/item/tija-leonardi-super-ligera-carbono-y-sillin-selle-869629823","https://es.wallapop.com/app/chat?itemId=ejkkn89811jx"
"HP Pavilion All-In-One 27-d0xxx","https://es.wallapop.com/item/hp-pavilion-all-in-one-27-d0xxx-869628657","https://es.wallapop.com/app/chat?itemId=xzorw2vve7z9"
"RELOJ LOTUS 18812/2 GRIS CORREA DE ACERO, HOMBRE","https://es.wallapop.com/item/reloj-lotus-18812-2-gris-correa-de-acero-hombre-869628650","https://es.wallapop.com/app/chat?itemId=pzprx211v963"
"Ford focus ","https://es.wallapop.com/item/ford-focus-869625339","https://es.wallapop.com/app/chat?itemId=36exm1w31nzd"
"Horno pequeño 40€ y dos sillas de espera negra 200","https://es.wallapop.com/item/horno-pequeno-40-y-dos-sillas-de-espera-negra-200-869630245","https://es.wallapop.com/app/chat?itemId=3zl1p89m2pjx"
"Maquina de ordenañar cabras nueva sin estrenar ","https://es.wallapop.com/item/maquina-de-ordenanar-cabras-nueva-sin-estrenar-869629065","https://es.wallapop.com/app/chat?itemId=wzvnd4lneqjl"
"patinete imr ","https://es.wallapop.com/item/patinete-imr-869626685","https://es.wallapop.com/app/chat?itemId=pj950mgd0mze"
"Moneda 1€ griega 2002","https://es.wallapop.com/item/moneda-1-griega-2003-869632416","https://es.wallapop.com/app/chat?itemId=v6g23g1knmze"
"Vendo dormitorio ","https://es.wallapop.com/item/vendo-dormitorio-869632398","https://es.wallapop.com/app/chat?itemId=pzprx2157k63"
"Louis vuitton felicie pochette","https://es.wallapop.com/item/louis-vuitton-felicie-pochette-869632231","https://es.wallapop.com/app/chat?itemId=p61ym47ey565"
"canapé colchón y cajon 3 puestos ","https://es.wallapop.com/item/canape-colchon-y-cajon-3-puestos-869632216","https://es.wallapop.com/app/chat?itemId=v6g23g1k15ze"
"Conjunto mesa de centro y auxiliar de bambu","https://es.wallapop.com/item/conjunto-mesa-de-centro-y-auxiliar-de-bambu-869632207","https://es.wallapop.com/app/chat?itemId=p61ym47e7565"
"movil","https://es.wallapop.com/item/movil-869631383","https://es.wallapop.com/app/chat?itemId=0j23o4r12m6y"
"Grúa personas movilidad reducida","https://es.wallapop.com/item/grua-personas-movilidad-reducida-869624969","https://es.wallapop.com/app/chat?itemId=3zl1p8gqp2jx"
"SEAT Cordoba 1999","https://es.wallapop.com/item/seat-cordoba-1999-869633132","https://es.wallapop.com/app/chat?itemId=qzmy0e3ndlzv"
"Pg gamer poco uso","https://es.wallapop.com/item/pg-gamer-poco-uso-869633112","https://es.wallapop.com/app/chat?itemId=9jd21k5v0d6k"
"Vendo Gtx 1060 como nueva ","https://es.wallapop.com/item/vendo-gtx-1060-como-nueva-869632977","https://es.wallapop.com/app/chat?itemId=qjwpg4d99qzo"
"mueble bar ","https://es.wallapop.com/item/mueble-bar-869632935","https://es.wallapop.com/app/chat?itemId=0j23o4reqd6y"
"Sillon","https://es.wallapop.com/item/sillon-869632910","https://es.wallapop.com/app/chat?itemId=8j3ek4xg5lz9"
