"Название товара","Ссылка на продавца","Ссылка на чат"
"Pareja de cascos BMW system 6  con intercomunicado","https://es.wallapop.com/item/pareja-de-cascos-bmw-system-6-con-intercomunicado-868343505","https://es.wallapop.com/app/chat?itemId=qjwpgerp3qzo"
"secador de pelo vertical infra rojo 0-60(800w)","https://es.wallapop.com/item/secador-de-pelo-vertical-infra-rojo-0-60-800w-868345422","https://es.wallapop.com/app/chat?itemId=8z84pq8wg863"
"Expositor mural refigerado","https://es.wallapop.com/item/expositor-mural-refigerado-868344017","https://es.wallapop.com/app/chat?itemId=wzvndrg4e7jl"
"bicicleta Nueva ","https://es.wallapop.com/item/bicicleta-nueva-868344925","https://es.wallapop.com/app/chat?itemId=mzn87g3w37zn"
"Vitrina salón","https://es.wallapop.com/item/vitrina-salon-868343663","https://es.wallapop.com/app/chat?itemId=36exmd51dqzd"
"lavadora","https://es.wallapop.com/item/lavadora-868344799","https://es.wallapop.com/app/chat?itemId=nz001g8rgrzo"
"Decoracion hogar «cachimba»","https://es.wallapop.com/item/decoracion-hogar-cachimba-868345000","https://es.wallapop.com/app/chat?itemId=e65gdvq79kjo"
"camiseta de Argentina Messi","https://es.wallapop.com/item/camiseta-de-argentina-messi-868344995","https://es.wallapop.com/app/chat?itemId=ejkknxmp5rjx"
"sofa verde vintage","https://es.wallapop.com/item/sofa-verde-vintage-868343753","https://es.wallapop.com/app/chat?itemId=qjwpger44wzo"
"Silla Eléctrica","https://es.wallapop.com/item/silla-electrica-868343958","https://es.wallapop.com/app/chat?itemId=8j3ekm84l8z9"
"banco musculación","https://es.wallapop.com/item/banco-musculacion-868343747","https://es.wallapop.com/app/chat?itemId=ejkknxm88rjx"
"Banco olímpico proform carbon","https://es.wallapop.com/item/banco-olimpico-proform-carbon-868343959","https://es.wallapop.com/app/chat?itemId=0j23ow84ln6y"
"Patinete Manual","https://es.wallapop.com/item/patinete-manual-868343538","https://es.wallapop.com/app/chat?itemId=4z412y81pmzy"
