"Название товара","Ссылка на продавца","Ссылка на чат"
"Horno de convección eléctrico FM","https://es.wallapop.com/item/horno-de-conveccion-electrico-fm-869360090","https://es.wallapop.com/app/chat?itemId=x6qd1dvggyjy"
"Iphone XR","https://es.wallapop.com/item/iphone-xr-869364778","https://es.wallapop.com/app/chat?itemId=nzx0g0wlkmz2"
"Reloj jaguar dorado ","https://es.wallapop.com/item/reloj-jaguar-dorado-869364713","https://es.wallapop.com/app/chat?itemId=pj9505xk22ze"
"aire acondicionado cecotec","https://es.wallapop.com/item/aire-acondicionado-cecotec-869364683","https://es.wallapop.com/app/chat?itemId=0j23o31w2e6y"
"Chaqueta ","https://es.wallapop.com/item/chaqueta-869357458","https://es.wallapop.com/app/chat?itemId=8j3ekepkx2z9"
"hogar","https://es.wallapop.com/item/hogar-869365548","https://es.wallapop.com/app/chat?itemId=e65gdgp3g2jo"
"Respaldo Sissy bar night rod special vrod","https://es.wallapop.com/item/respaldo-sissy-bar-night-rod-special-vrod-869365547","https://es.wallapop.com/app/chat?itemId=ejkknke9krjx"
"Sigma 35mm 1.4 Art DG para Nikon ","https://es.wallapop.com/item/sigma-35mm-1-4-art-dg-para-nikon-869358137","https://es.wallapop.com/app/chat?itemId=pj9505nln2ze"
"Grifo de cocina GROHE ","https://es.wallapop.com/item/grifo-de-cocina-grohe-869358089","https://es.wallapop.com/app/chat?itemId=wzvndn2547jl"
"Lote de de aparatología de estética ","https://es.wallapop.com/item/lote-de-de-aparatologia-de-estetica-869358899","https://es.wallapop.com/app/chat?itemId=nz0010r33dzo"
"Hydraulic groom table ","https://es.wallapop.com/item/hydraulic-groom-table-869358897","https://es.wallapop.com/app/chat?itemId=mzn878wqq0zn"
"cuadro antiguo","https://es.wallapop.com/item/cuadro-antiguo-869358888","https://es.wallapop.com/app/chat?itemId=v6g232oqqmze"
"Cinta de correr","https://es.wallapop.com/item/cinta-de-correr-869358806","https://es.wallapop.com/app/chat?itemId=nzx0g0r89pz2"
"Calentadore de Gas Natural completa mente nueva","https://es.wallapop.com/item/calentadore-de-gas-natural-completa-mente-nueva-869361957","https://es.wallapop.com/app/chat?itemId=xzorwrxny5z9"
"Cabezal Expandir tubo Wirbos ","https://es.wallapop.com/item/cabezal-expandir-tubo-wirbo-869361955","https://es.wallapop.com/app/chat?itemId=p61ymy5rpg65"
"Casco motocross","https://es.wallapop.com/item/casco-motocross-869360212","https://es.wallapop.com/app/chat?itemId=9jd21280o26k"
"Cámara Sony DSC-WX500","https://es.wallapop.com/item/camara-sony-dsc-wx500-869359587","https://es.wallapop.com/app/chat?itemId=36exmx84lnzd"
"DJI PHANTOM 4","https://es.wallapop.com/item/dji-phantom-4-869359479","https://es.wallapop.com/app/chat?itemId=p61ymy532265"
"se vende Armario+ Coqueta","https://es.wallapop.com/item/se-vende-armario--coqueta-869359456","https://es.wallapop.com/app/chat?itemId=qzmy0y7xwxzv"
"Guitarra Electrica ","https://es.wallapop.com/item/guitarra-electrica-869365115","https://es.wallapop.com/app/chat?itemId=36exmxpwovzd"
"Iphone SE 2020 64GB Blanco","https://es.wallapop.com/item/iphone-se-2020-64gb-blanco-869365045","https://es.wallapop.com/app/chat?itemId=3zl1p1kg0pjx"
"Silla de combate para barco 175/VTR","https://es.wallapop.com/item/silla-de-combate-para-barco175-vtr-869365031","https://es.wallapop.com/app/chat?itemId=p61ymyko8x65"
