"Название товара","Ссылка на продавца","Ссылка на чат"
"Suzuki 650sv ","https://es.wallapop.com/item/suzuki-650sv-870401164","https://es.wallapop.com/app/chat?itemId=v6g23ov012ze"
"Suzuki 250 4 t ","https://es.wallapop.com/item/suzuki-250-4-t-870401146","https://es.wallapop.com/app/chat?itemId=8z84p5eq1r63"
"Mesa Comedor","https://es.wallapop.com/item/mesa-comedor-870400913","https://es.wallapop.com/app/chat?itemId=pj950nedp2ze"
"retro Jordan 4","https://es.wallapop.com/item/retro-jordan-4-870400908","https://es.wallapop.com/app/chat?itemId=qzmy07ngx1zv"
"Psicología educativa Anita Woolfolk ","https://es.wallapop.com/item/psicologia-educativa-anita-woolfolk-870400881","https://es.wallapop.com/app/chat?itemId=xzorwx0kq7z9"
"Patiente xiaomi 1s ","https://es.wallapop.com/item/patiente-xiaomi-1s-870400542","https://es.wallapop.com/app/chat?itemId=x6qd1vwlkqjy"
"Mesa de cocina y Recibidor","https://es.wallapop.com/item/mesa-de-cocina-y-recibidor-870400588","https://es.wallapop.com/app/chat?itemId=v6g23ovm12ze"
"pack funko Sally y Jack catrina","https://es.wallapop.com/item/pack-funko-sally-y-jack-catrina-870400934","https://es.wallapop.com/app/chat?itemId=8j3ekpgvwlz9"
"radiador de luz ceramica","https://es.wallapop.com/item/radiador-de-luz-ceramica-870400268","https://es.wallapop.com/app/chat?itemId=wzy5gyodg2j5"
"BMW Serie 320d 163 cv 240.000 klms impecable  año 2006","https://es.wallapop.com/item/bmw-serie-320d-163-cv-240-000-klms-impecable-ano-2006-870400250","https://es.wallapop.com/app/chat?itemId=pzprxd5vx963"
"The last of us + The callisto nuevos","https://es.wallapop.com/item/the-last-of-us---the-callisto-nuevos-870400729","https://es.wallapop.com/app/chat?itemId=qjwpg29lqezo"
"rieju marathon 125cc","https://es.wallapop.com/item/rieju-marathon-125cc-870401099","https://es.wallapop.com/app/chat?itemId=nz001rdg9dzo"
"Nike dunk low bone white. reps. no box","https://es.wallapop.com/item/nike-dunk-low-bone-white-reps-no-box-870401070","https://es.wallapop.com/app/chat?itemId=8z84p5evy863"
"Conjunto salón ","https://es.wallapop.com/item/conjunto-salon-870401125","https://es.wallapop.com/app/chat?itemId=mzn87wpgg7zn"
"MONOPATIN OXELO NUEVO + CASCO","https://es.wallapop.com/item/monopatin-oxelo-nuevo---casco-870401116","https://es.wallapop.com/app/chat?itemId=v6g23ov002ze"
"Auriculares inalámbricos ","https://es.wallapop.com/item/auriculares-inalambricos-870400658","https://es.wallapop.com/app/chat?itemId=8j3ekpgv8yz9"
"reloj pedro del hierro","https://es.wallapop.com/item/reloj-pedro-del-hierro-870400627","https://es.wallapop.com/app/chat?itemId=nz001rd90ezo"
"Pantalla vintage proyeccion super 8","https://es.wallapop.com/item/pantalla-vintage-proyeccion-super-8-870400516","https://es.wallapop.com/app/chat?itemId=v6g23ovmm2ze"
"AirPods 3A generación ","https://es.wallapop.com/item/airpods-3a-generacion-870400509","https://es.wallapop.com/app/chat?itemId=xzorwxdee5z9"
"Mercedes-Benz E 270 2003","https://es.wallapop.com/item/mercedes-benz-e-270-2003-870400374","https://es.wallapop.com/app/chat?itemId=pzprxd5v4k63"
"Culote Ciclismo Gore Wear

","https://es.wallapop.com/item/culote-ciclismo-gore-wear-870400463","https://es.wallapop.com/app/chat?itemId=36exm8oq2qzd"
"pañales de la talla2(dos paquetes de pañales)","https://es.wallapop.com/item/panales-de-la-talla2-dos-paquetes-de-panales-870400456","https://es.wallapop.com/app/chat?itemId=qzmy07v2rxzv"
"bicicleta eléctrica y plegable","https://es.wallapop.com/item/bicicleta-electrica-y-plegable-870400164","https://es.wallapop.com/app/chat?itemId=v6g23ok8enze"
"teclados gamer,ratón gamer,cascos,alfombrilla","https://es.wallapop.com/item/teclados-gamer-raton-gamer-cascos-alfombrilla-870400826","https://es.wallapop.com/app/chat?itemId=pzprxd78x963"
"seat altea Xl 1.6 TDI 2012","https://es.wallapop.com/item/seat-altea-xl-1-6-tdi-2012-870400811","https://es.wallapop.com/app/chat?itemId=0j23one9ke6y"
