"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta de pelo gris sin estrenar","https://es.wallapop.com/item/chaqueta-de-pelo-gris-sin-estrenar-871688442","https://es.wallapop.com/app/chat?itemId=x6qd1w49rejy"
"Radiador aceite de 8 hojas hasta 2000 w. Estufa ","https://es.wallapop.com/item/radiador-aceite-de-8-hojas-hasta-2000-w-estufa-871688419","https://es.wallapop.com/app/chat?itemId=vjrrmxo9nwjk"
"vendo Xiaomi 9 a","https://es.wallapop.com/item/vendo-xiaomi-9-a-871688407","https://es.wallapop.com/app/chat?itemId=p61ymdk7p565"
"Skate ZooYork completo ","https://es.wallapop.com/item/skate-zooyork-completo-871689536","https://es.wallapop.com/app/chat?itemId=9jd21vnk3n6k"
"billetes de 1000pesetas y de 100","https://es.wallapop.com/item/billetes-de-1000pesetas-y-de-100-871689521","https://es.wallapop.com/app/chat?itemId=3zl1p5k8l2jx"
"Mobiliario habitación","https://es.wallapop.com/item/mobiliario-habitacion-871688479","https://es.wallapop.com/app/chat?itemId=p61ymdkyv565"
"Gorra de Goorin Bros ","https://es.wallapop.com/item/gorra-de-goorin-bros-871688468","https://es.wallapop.com/app/chat?itemId=wzy5g9x5e2j5"
"placha para hacer rizos ","https://es.wallapop.com/item/placha-para-hacer-rizos-871689269","https://es.wallapop.com/app/chat?itemId=3zl1p5k8d8jx"
"New Balance 550","https://es.wallapop.com/item/new-balance-550-871689323","https://es.wallapop.com/app/chat?itemId=ejkknre8wrjx"
"Gopro Hero 9 ","https://es.wallapop.com/item/gopro-hero-9-871689286","https://es.wallapop.com/app/chat?itemId=4z412knerwzy"
"Rizador de pelo Babyliss 271CE","https://es.wallapop.com/item/rizador-de-pelo-babyliss-271ce-871689562","https://es.wallapop.com/app/chat?itemId=4z412knewrzy"
"botines de piel num 36","https://es.wallapop.com/item/botines-de-piel-num-36-871688826","https://es.wallapop.com/app/chat?itemId=pzprx7grq463"
"Samsung S9","https://es.wallapop.com/item/samsung-s9-871688817","https://es.wallapop.com/app/chat?itemId=wzvnd30n8qjl"
"Es del año 83 y va perfectamente. ","https://es.wallapop.com/item/es-del-ano-83-y-va-perfectamente-871688802","https://es.wallapop.com/app/chat?itemId=pzprx7grm463"
"traje Flamenca","https://es.wallapop.com/item/traje-flamenca-871688803","https://es.wallapop.com/app/chat?itemId=nz001dw0lezo"
"Bonitas chanclas zueco Kazar 39","https://es.wallapop.com/item/bonitas-chanclas-zueco-kazar-39-871688987","https://es.wallapop.com/app/chat?itemId=36exmvpx3vzd"
"Lote accesorios bicicleta","https://es.wallapop.com/item/lote-accesorios-bicicleta-871688615","https://es.wallapop.com/app/chat?itemId=36exmvpx5qzd"
"Botas grises","https://es.wallapop.com/item/botas-grises-871688612","https://es.wallapop.com/app/chat?itemId=9jd21vn2wl6k"
"Mesa/escritorio ","https://es.wallapop.com/item/mesa-escritorio-871688602","https://es.wallapop.com/app/chat?itemId=pzprx7grk563"
"Crepúsculo ","https://es.wallapop.com/item/crepusculo-871688899","https://es.wallapop.com/app/chat?itemId=nz001dw0kezo"
" 3 Puertas de madera ","https://es.wallapop.com/item/3-puertas-de-madera-871688971","https://es.wallapop.com/app/chat?itemId=ejkknrekvyjx"
