"Название товара","Ссылка на продавца","Ссылка на чат"
"lámpara led","https://es.wallapop.com/item/lampara-led-872750605","https://es.wallapop.com/app/chat?itemId=qjwpgngllgzo"
"Just dance 2022 Nintendo Switch","https://es.wallapop.com/item/just-dance-2022-nintendo-switch-872752979","https://es.wallapop.com/app/chat?itemId=p61ymlmy7d65"
"Pala de ping pong perfecto estado RGB","https://es.wallapop.com/item/pala-de-ping-pong-perfecto-estado-rgb-872753278","https://es.wallapop.com/app/chat?itemId=nzx0gpg081z2"
"1 LLANTA Y NEUMATICO 205/55 R16","https://es.wallapop.com/item/1-llanta-y-neumatico-205-55-r16-872753453","https://es.wallapop.com/app/chat?itemId=qjwpgngpm4zo"
"Nissan Terrano II 626254155","https://es.wallapop.com/item/nissan-terrano-ii-626254155-872753448","https://es.wallapop.com/app/chat?itemId=e65gdldg4mjo"
"Compex 2.0","https://es.wallapop.com/item/compex-2-0-872753426","https://es.wallapop.com/app/chat?itemId=pzprxmxrl963"
"Xiaomi Electric Scooter 3 patinete eléctrico","https://es.wallapop.com/item/xiaomi-electric-scooter-3-patinete-electrico-872753100","https://es.wallapop.com/app/chat?itemId=e65gdldgp2jo"
"mesa y sillas","https://es.wallapop.com/item/mesa-y-sillas-872753086","https://es.wallapop.com/app/chat?itemId=4z412l210wzy"
"IPhone 14 PRO 256GB²","https://es.wallapop.com/item/iphone-14-pro-256gb-872753075","https://es.wallapop.com/app/chat?itemId=nz001l10rdzo"
"Bolso de mano o bag","https://es.wallapop.com/item/bolso-de-mano-o-bag-872752530","https://es.wallapop.com/app/chat?itemId=nzx0gpgyw7z2"
"Simuladores Parto","https://es.wallapop.com/item/simuladores-parto-872752499","https://es.wallapop.com/app/chat?itemId=nz001l1vrdzo"
"Altavoz discoteca Vibe-12 - caja de sonido","https://es.wallapop.com/item/altavoz-discoteca-vibe-12-caja-de-sonido-872752457","https://es.wallapop.com/app/chat?itemId=xzorw1wv24z9"
"Camilla de masajes.","https://es.wallapop.com/item/camilla-de-masajes-872752445","https://es.wallapop.com/app/chat?itemId=3zl1p7p988jx"
"Tele LG modelo 24MT49s-pz","https://es.wallapop.com/item/tele-lg-modelo-24mt49s-pz-872752450","https://es.wallapop.com/app/chat?itemId=pzprxmx12563"
