"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta GeoNorway expedition.","https://es.wallapop.com/item/chaqueta-geonorway-expedition-869200016","https://es.wallapop.com/app/chat?itemId=v6g231l1y7ze"
"Sudadera nba X nike ","https://es.wallapop.com/item/sudadera-nba-x-nike-869199936","https://es.wallapop.com/app/chat?itemId=9jd215l59d6k"
"Bolso","https://es.wallapop.com/item/bolso-869199776","https://es.wallapop.com/app/chat?itemId=w67yngwgk76x"
"Nike Dunk","https://es.wallapop.com/item/nike-dunk-869199017","https://es.wallapop.com/app/chat?itemId=wzvndlmyr7jl"
"sudadera Karl kani","https://es.wallapop.com/item/sudadera-karl-kani-869198952","https://es.wallapop.com/app/chat?itemId=w67yngw3q86x"
"Botines","https://es.wallapop.com/item/botines-869198932","https://es.wallapop.com/app/chat?itemId=qzmy03l9qyzv"
"Vestido de la marca Samarhe","https://es.wallapop.com/item/vestido-de-la-marca-samarhe-869198927","https://es.wallapop.com/app/chat?itemId=nz001vqg57zo"
"Chaleco acolchado","https://es.wallapop.com/item/chaleco-acolchado-869198923","https://es.wallapop.com/app/chat?itemId=ejkkn9lxvyjx"
"Sandalias Birkenstock Boston","https://es.wallapop.com/item/sandalias-birkenstock-boston-869198877","https://es.wallapop.com/app/chat?itemId=qjwpgdoe3kzo"
"por limpieza de armario se venden estos zapatos.","https://es.wallapop.com/item/por-limpieza-de-armario-se-venden-estos-zapatos-869198821","https://es.wallapop.com/app/chat?itemId=3zl1p9l42pjx"
"botas HUNTER","https://es.wallapop.com/item/botas-hunter-869198809","https://es.wallapop.com/app/chat?itemId=xzorwvnl4lz9"
"Sudadera Levi's XXS","https://es.wallapop.com/item/sudadera-levi-s-xxs-869199383","https://es.wallapop.com/app/chat?itemId=0j23or5y2m6y"
"Jordan 4 retro infrared","https://es.wallapop.com/item/jordan-4-retro-infrared-869199372","https://es.wallapop.com/app/chat?itemId=e65gd30yk2jo"
"Botas de agua","https://es.wallapop.com/item/botas-de-agua-869199283","https://es.wallapop.com/app/chat?itemId=0j23or5ykv6y"
"PULSERA CABALLERO ","https://es.wallapop.com/item/pulsera-caballero-869199276","https://es.wallapop.com/app/chat?itemId=w67yngwd996x"
"Chaleco acolchado","https://es.wallapop.com/item/chaleco-acolchado-869200323","https://es.wallapop.com/app/chat?itemId=ejkkn9lke9jx"
"Botines","https://es.wallapop.com/item/botines-869200262","https://es.wallapop.com/app/chat?itemId=4z412gp1elzy"
"Abrigo moncler rojo","https://es.wallapop.com/item/abrigo-moncler-rojo-869200265","https://es.wallapop.com/app/chat?itemId=wzvndlmn47jl"
"Naúticos piel clásicos talla 49(UE),14(UK),15(USA)","https://es.wallapop.com/item/nauticos-piel-clasicos-talla-49-ue-14-uk-15-usa-869200103","https://es.wallapop.com/app/chat?itemId=nz001vqvn7zo"
"Botas altas ","https://es.wallapop.com/item/botas-altas-869199678","https://es.wallapop.com/app/chat?itemId=nzx0gyky4ez2"
"Polo pura lana","https://es.wallapop.com/item/polo-pura-lana-869199667","https://es.wallapop.com/app/chat?itemId=vjrrm979rwjk"
"Botas talla 38","https://es.wallapop.com/item/botas-talla-38-869199653","https://es.wallapop.com/app/chat?itemId=qjwpgdodp4zo"
"White cap","https://es.wallapop.com/item/white-cap-869199623","https://es.wallapop.com/app/chat?itemId=ejkkn9l941jx"
"traje encaje largo ","https://es.wallapop.com/item/traje-encaje-largo-869199616","https://es.wallapop.com/app/chat?itemId=v6g231l145ze"
"reloj hombre","https://es.wallapop.com/item/reloj-hombre-869199576","https://es.wallapop.com/app/chat?itemId=w67yngwg386x"
"zapatillas de sport SWIMS","https://es.wallapop.com/item/zapatillas-de-sport-swims-869199510","https://es.wallapop.com/app/chat?itemId=8j3ekxny78z9"
