"Название товара","Ссылка на продавца","Ссылка на чат"
"zapatillas nike","https://es.wallapop.com/item/zapatillas-nike-872355301","https://es.wallapop.com/app/chat?itemId=mzn877o0k7zn"
"Bragas de todo tipo","https://es.wallapop.com/item/bragas-de-todo-tipo-872355279","https://es.wallapop.com/app/chat?itemId=p61ymmkq3265"
"Vestido / traje flamenca","https://es.wallapop.com/item/vestido-traje-flamenca-872354944","https://es.wallapop.com/app/chat?itemId=wzy5ggxqnpj5"
"CHAQUETA PUNTO ROMA TALLA 40 ","https://es.wallapop.com/item/chaqueta-punto-roma-talla-40-872354890","https://es.wallapop.com/app/chat?itemId=x6qd114xlnjy"
"Sudadera ","https://es.wallapop.com/item/sudadera-872355031","https://es.wallapop.com/app/chat?itemId=p61ymmkq8565"
"Pantalón vichy","https://es.wallapop.com/item/pantalon-vichy-872355516","https://es.wallapop.com/app/chat?itemId=v6g2337k4nze"
"Plancha GHD","https://es.wallapop.com/item/plancha-ghd-872355431","https://es.wallapop.com/app/chat?itemId=p61ymmkqpx65"
"Zapatillas en bota ","https://es.wallapop.com/item/zapatillas-en-bota-872355417","https://es.wallapop.com/app/chat?itemId=wzvndd0qwqjl"
"Bomber ","https://es.wallapop.com/item/bomber-872355768","https://es.wallapop.com/app/chat?itemId=wzy5ggxogej5"
"Abrigo Rojo","https://es.wallapop.com/item/abrigo-rojo-872355653","https://es.wallapop.com/app/chat?itemId=qjwpgg7174zo"
