"Название товара","Ссылка на продавца","Ссылка на чат"
"Camiseta Adidas","https://www.vinted.es/mezczyzni/ubrania/topy-and-t-shirty/t-shirty/inne/2666591093-camiseta-adidas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666591093&receiver_id=131311306&ref_url=%2Fitems%2F2666591093%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131311306%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fotras-camisetas%252F2666591093-camiseta-adidas%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BAdidas&source=wantit&subject=wanted%3A+Camiseta+Adidas"
"Mom Slim negro Stradivarius","https://www.vinted.es/femmes/vetements/jeans/jeans-droits/2666591082-mom-slim-negro-stradivarius","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666591082&receiver_id=122597089&ref_url=%2Fitems%2F2666591082%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122597089%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-rectos%252F2666591082-mom-slim-negro-stradivarius%26source%3Dwantit%26subject%3Dwanted%253A%2BMom%2BSlim%2Bnegro%2BStradivarius&source=wantit&subject=wanted%3A+Mom+Slim+negro+Stradivarius"
"Vestido ","https://www.vinted.es/femmes/vetements/robes/midi/2666590991-vestido","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666590991&receiver_id=131237864&ref_url=%2Fitems%2F2666590991%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131237864%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmidi%252F2666590991-vestido%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2B&source=wantit&subject=wanted%3A+Vestido+"
"Botines","https://www.vinted.es/femmes/chaussures/bottines/2666590875-botines","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666590875&receiver_id=131232662&ref_url=%2Fitems%2F2666590875%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131232662%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotines%252F2666590875-botines%26source%3Dwantit%26subject%3Dwanted%253A%2BBotines&source=wantit&subject=wanted%3A+Botines"
"Vestido cuello alto con lazada detrás ","https://www.vinted.es/femmes/vetements/robes/midi/2666594285-vestido-cuello-alto-con-lazada-detras","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666594285&receiver_id=130931335&ref_url=%2Fitems%2F2666594285%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130931335%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmidi%252F2666594285-vestido-cuello-alto-con-lazada-detras%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bcuello%2Balto%2Bcon%2Blazada%2Bdetr%25C3%25A1s%2B&source=wantit&subject=wanted%3A+Vestido+cuello+alto+con+lazada+detr%C3%A1s+"
"Gabardina chaqueta - años 80","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/manteaux/trenchs/2666592410-gabardina-chaqueta-anos-80","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666592410&receiver_id=38023016&ref_url=%2Fitems%2F2666592410%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D38023016%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fgabardinas%252F2666592410-gabardina-chaqueta-anos-80%26source%3Dwantit%26subject%3Dwanted%253A%2BGabardina%2Bchaqueta%2B-%2Ba%25C3%25B1os%2B80&source=wantit&subject=wanted%3A+Gabardina+chaqueta+-+a%C3%B1os+80"
"Vestido veraniego ","https://www.vinted.es/femmes/vetements/robes/pour-occasions/robes-dos-nu/2666589000-vestido-veraniego","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666589000&receiver_id=131188844&ref_url=%2Fitems%2F2666589000%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131188844%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Focasiones-especiales%252Fespalda-descubierta%252F2666589000-vestido-veraniego%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bveraniego%2B&source=wantit&subject=wanted%3A+Vestido+veraniego+"
"Pulsera Bimba Y Lola","https://www.vinted.es/femmes/accessoires/bijoux/bracelets/2666588987-pulsera-bimba-y-lola","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666588987&receiver_id=131360392&ref_url=%2Fitems%2F2666588987%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131360392%26ref_url%3D%252Fmujer%252Faccesorios%252Fjoyeria%252Fpulseras%252F2666588987-pulsera-bimba-y-lola%26source%3Dwantit%26subject%3Dwanted%253A%2BPulsera%2BBimba%2BY%2BLola&source=wantit&subject=wanted%3A+Pulsera+Bimba+Y+Lola"
"Camisa lisa de Springfield ","https://www.vinted.es/mezczyzni/ubrania/topy-and-t-shirty/koszule/koszule-gladkie/2666588034-camisa-lisa-de-springfield","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666588034&receiver_id=38495279&ref_url=%2Fitems%2F2666588034%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D38495279%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisas%252Fcamisas-lisas%252F2666588034-camisa-lisa-de-springfield%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Blisa%2Bde%2BSpringfield%2B&source=wantit&subject=wanted%3A+Camisa+lisa+de+Springfield+"
"Cárdigan beige","https://www.vinted.es/women/clothes/jumpers-and-sweaters/cardigans/2666588013-cardigan-beige","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666588013&receiver_id=130238246&ref_url=%2Fitems%2F2666588013%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130238246%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fcardigan%252F2666588013-cardigan-beige%26source%3Dwantit%26subject%3Dwanted%253A%2BC%25C3%25A1rdigan%2Bbeige&source=wantit&subject=wanted%3A+C%C3%A1rdigan+beige"
