"Название товара","Ссылка на продавца","Ссылка на чат"
"Reloj Guess","https://es.wallapop.com/item/reloj-guess-872668850","https://es.wallapop.com/app/chat?itemId=pzprxmd99963"
"Chaqueta Rosa","https://es.wallapop.com/item/chaqueta-rosa-872669359","https://es.wallapop.com/app/chat?itemId=0j23olnymn6y"
"Falda de cuero ajustada ","https://es.wallapop.com/item/falda-de-cuero-ajustada-872669333","https://es.wallapop.com/app/chat?itemId=xzorw1x8y2z9"
"Sudadera termica","https://es.wallapop.com/item/sudadera-termica-872670347","https://es.wallapop.com/app/chat?itemId=ejkkn0pk7rjx"
"Sudadera ellese ","https://es.wallapop.com/item/sudadera-ellese-872667938","https://es.wallapop.com/app/chat?itemId=4z412l0o3vzy"
"vestido flamenca niña","https://es.wallapop.com/item/vestido-flamenca-nina-872667727","https://es.wallapop.com/app/chat?itemId=nz001lr9vrzo"
"vestido invitada morado","https://es.wallapop.com/item/vestido-invitada-morado-872667621","https://es.wallapop.com/app/chat?itemId=3zl1p7movqjx"
"Camisa señora ","https://es.wallapop.com/item/camisa-senora-872667570","https://es.wallapop.com/app/chat?itemId=8z84pl8yxd63"
"Abrigo estilo canguro","https://es.wallapop.com/item/abrigo-estilo-canguro-872670236","https://es.wallapop.com/app/chat?itemId=9jd21r82vl6k"
"Botines piel Prada","https://es.wallapop.com/item/botines-piel-prada-872670157","https://es.wallapop.com/app/chat?itemId=xzorw1xr3wz9"
"gorro lana virgen","https://es.wallapop.com/item/gorro-lana-virgen-872669966","https://es.wallapop.com/app/chat?itemId=x6qd1ovdlojy"
"Camiseta negra Levi's","https://es.wallapop.com/item/camiseta-negra-levi-s-872669776","https://es.wallapop.com/app/chat?itemId=w67ynlxg556x"
