"Название товара","Ссылка на продавца","Ссылка на чат"
"Coquetiers avec plateau","https://www.vinted.fr/maison/arts-de-la-table/vaisselle/plateaux/2620420063-coquetiers-avec-plateau","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620420063&receiver_id=113837345&ref_url=%2Fitems%2F2620420063%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D113837345%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fvaisselle%252Fplateaux%252F2620420063-coquetiers-avec-plateau%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BCoquetiers%2Bavec%2Bplateau&source=wantit&subject=Je+veux+%3A+Coquetiers+avec+plateau"
"Lot 24 petites cordes led ","https://www.vinted.fr/maison/decoration/bougies-et-bougeoirs-1956/2620419456-lot-24-petites-cordes-led","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620419456&receiver_id=15840277&ref_url=%2Fitems%2F2620419456%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D15840277%26ref_url%3D%252Fmaison%252Fdecoration%252Fbougies-et-bougeoirs-1956%252F2620419456-lot-24-petites-cordes-led%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BLot%2B24%2Bpetites%2Bcordes%2Bled%2B&source=wantit&subject=Je+veux+%3A+Lot+24+petites+cordes+led+"
"Suspension ","https://www.vinted.fr/maison/decoration/rangements/paniers-de-rangement/2620462980-suspension","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620462980&receiver_id=39783324&ref_url=%2Fitems%2F2620462980%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D39783324%26ref_url%3D%252Fmaison%252Fdecoration%252Frangements%252Fpaniers-de-rangement%252F2620462980-suspension%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BSuspension%2B&source=wantit&subject=Je+veux+%3A+Suspension+"
"Boîte à thé en bois ","https://www.vinted.fr/maison/decoration/rangements/boites/2620460447-boite-a-the-en-bois","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620460447&receiver_id=31014801&ref_url=%2Fitems%2F2620460447%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D31014801%26ref_url%3D%252Fmaison%252Fdecoration%252Frangements%252Fboites%252F2620460447-boite-a-the-en-bois%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BBo%25C3%25AEte%2B%25C3%25A0%2Bth%25C3%25A9%2Ben%2Bbois%2B&source=wantit&subject=Je+veux+%3A+Bo%C3%AEte+%C3%A0+th%C3%A9+en+bois+"
"Tapis prière avec dossie","https://www.vinted.fr/maison/textiles/tapis/petits-tapis/2620471032-tapis-priere-avec-dossie","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620471032&receiver_id=129610113&ref_url=%2Fitems%2F2620471032%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129610113%26ref_url%3D%252Fmaison%252Ftextiles%252Ftapis%252Fpetits-tapis%252F2620471032-tapis-priere-avec-dossie%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BTapis%2Bpri%25C3%25A8re%2Bavec%2Bdossie&source=wantit&subject=Je+veux+%3A+Tapis+pri%C3%A8re+avec+dossie"
"Carafe","https://www.vinted.fr/maison/arts-de-la-table/verres/carafes/2620456888-carafe","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620456888&receiver_id=129467571&ref_url=%2Fitems%2F2620456888%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129467571%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fverres%252Fcarafes%252F2620456888-carafe%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BCarafe&source=wantit&subject=Je+veux+%3A+Carafe"
"Plat 3 etages en verre à l´unité ","https://www.vinted.fr/maison/arts-de-la-table/vaisselle/plateaux/2620453419-plat-3-etages-en-verre-a-lunite","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620453419&receiver_id=21501472&ref_url=%2Fitems%2F2620453419%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D21501472%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fvaisselle%252Fplateaux%252F2620453419-plat-3-etages-en-verre-a-lunite%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BPlat%2B3%2Betages%2Ben%2Bverre%2B%25C3%25A0%2Bl%25C2%25B4unit%25C3%25A9%2B&source=wantit&subject=Je+veux+%3A+Plat+3+etages+en+verre+%C3%A0+l%C2%B4unit%C3%A9+"
"Sauteuse ","https://www.vinted.fr/maison/arts-de-la-table/vaisselle/services-de-table/2620522637-sauteuse","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620522637&receiver_id=18937419&ref_url=%2Fitems%2F2620522637%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D18937419%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fvaisselle%252Fservices-de-table%252F2620522637-sauteuse%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BSauteuse%2B&source=wantit&subject=Je+veux+%3A+Sauteuse+"
"Sac lunch isotherme","https://www.vinted.fr/maison/decoration/rangements/paniers-de-rangement/2620469652-sac-lunch-isotherme","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620469652&receiver_id=93834743&ref_url=%2Fitems%2F2620469652%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D93834743%26ref_url%3D%252Fmaison%252Fdecoration%252Frangements%252Fpaniers-de-rangement%252F2620469652-sac-lunch-isotherme%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BSac%2Blunch%2Bisotherme&source=wantit&subject=Je+veux+%3A+Sac+lunch+isotherme"
"Double miroir ","https://www.vinted.fr/maison/decoration/miroirs/miroirs-de-table/2620467476-double-miroir","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620467476&receiver_id=129599123&ref_url=%2Fitems%2F2620467476%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129599123%26ref_url%3D%252Fmaison%252Fdecoration%252Fmiroirs%252Fmiroirs-de-table%252F2620467476-double-miroir%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BDouble%2Bmiroir%2B&source=wantit&subject=Je+veux+%3A+Double+miroir+"
"Lot 2 housses de couette ikea ","https://www.vinted.fr/hogar/textiles/ropa-de-cama/fundas-nordicas/2620425302-lot-2-housses-de-couette-ikea","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620425302&receiver_id=126287785&ref_url=%2Fitems%2F2620425302%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126287785%26ref_url%3D%252Fmaison%252Ftextiles%252Flinge-de-lit%252Fhousses-de-couette%252F2620425302-lot-2-housses-de-couette-ikea%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BLot%2B2%2Bhousses%2Bde%2Bcouette%2Bikea%2B&source=wantit&subject=Je+veux+%3A+Lot+2+housses+de+couette+ikea+"
"Tasses à café Arcopal","https://www.vinted.fr/maison/arts-de-la-table/verres/tasses-and-tasses-a-cafe/2620422312-tasses-a-cafe-arcopal","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620422312&receiver_id=117708344&ref_url=%2Fitems%2F2620422312%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D117708344%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fverres%252Ftasses-and-tasses-a-cafe%252F2620422312-tasses-a-cafe-arcopal%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BTasses%2B%25C3%25A0%2Bcaf%25C3%25A9%2BArcopal&source=wantit&subject=Je+veux+%3A+Tasses+%C3%A0+caf%C3%A9+Arcopal"
"assiettes","https://www.vinted.fr/maison/arts-de-la-table/vaisselle/assiettes/2620486494-assiettes","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620486494&receiver_id=129538767&ref_url=%2Fitems%2F2620486494%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129538767%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fvaisselle%252Fassiettes%252F2620486494-assiettes%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2Bassiettes&source=wantit&subject=Je+veux+%3A+assiettes"
"Bougie bleue","https://www.vinted.fr/hogar/decoracion/velas-y-portavelas-1956/2620529407-bougie-bleue","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620529407&receiver_id=31074703&ref_url=%2Fitems%2F2620529407%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D31074703%26ref_url%3D%252Fmaison%252Fdecoration%252Fbougies-et-bougeoirs-1956%252F2620529407-bougie-bleue%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BBougie%2Bbleue&source=wantit&subject=Je+veux+%3A+Bougie+bleue"
"Lot de 2 vase","https://www.vinted.fr/hogar/decoracion/jarrones/2620507467-lot-de-2-vase","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620507467&receiver_id=62602618&ref_url=%2Fitems%2F2620507467%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D62602618%26ref_url%3D%252Fmaison%252Fdecoration%252Fvases%252F2620507467-lot-de-2-vase%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BLot%2Bde%2B2%2Bvase&source=wantit&subject=Je+veux+%3A+Lot+de+2+vase"
"Jeter de lit et décorations","https://www.vinted.fr/hogar/textiles/ropa-de-cama/juegos-de-sabanas/2620505298-jeter-de-lit-et-decorations","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620505298&receiver_id=14354007&ref_url=%2Fitems%2F2620505298%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D14354007%26ref_url%3D%252Fmaison%252Ftextiles%252Flinge-de-lit%252Fparures-de-lit%252F2620505298-jeter-de-lit-et-decorations%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BJeter%2Bde%2Blit%2Bet%2Bd%25C3%25A9corations&source=wantit&subject=Je+veux+%3A+Jeter+de+lit+et+d%C3%A9corations"
"Corbeille en osier ","https://www.vinted.fr/maison/decoration/rangements/paniers-de-rangement/2620515890-corbeille-en-osier","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620515890&receiver_id=29140271&ref_url=%2Fitems%2F2620515890%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D29140271%26ref_url%3D%252Fmaison%252Fdecoration%252Frangements%252Fpaniers-de-rangement%252F2620515890-corbeille-en-osier%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BCorbeille%2Ben%2Bosier%2B&source=wantit&subject=Je+veux+%3A+Corbeille+en+osier+"
"Napperon ","https://www.vinted.fr/dom/tekstylia/reczniki/reczniki-kapielowe/2620514374-napperon","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620514374&receiver_id=80942133&ref_url=%2Fitems%2F2620514374%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D80942133%26ref_url%3D%252Fmaison%252Ftextiles%252Fserviettes%252Fserviettes-de-bain%252F2620514374-napperon%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BNapperon%2B&source=wantit&subject=Je+veux+%3A+Napperon+"
"Chemin de table en jute","https://www.vinted.fr/maison/textiles/linge-de-table/2620514088-chemin-de-table-en-jute","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620514088&receiver_id=122123670&ref_url=%2Fitems%2F2620514088%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122123670%26ref_url%3D%252Fmaison%252Ftextiles%252Flinge-de-table%252F2620514088-chemin-de-table-en-jute%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BChemin%2Bde%2Btable%2Ben%2Bjute&source=wantit&subject=Je+veux+%3A+Chemin+de+table+en+jute"
"Rose éternelle ","https://www.vinted.fr/hogar/decoracion/almacenaje/cajas/2620513521-rose-eternelle","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620513521&receiver_id=13504159&ref_url=%2Fitems%2F2620513521%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D13504159%26ref_url%3D%252Fmaison%252Fdecoration%252Frangements%252Fboites%252F2620513521-rose-eternelle%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BRose%2B%25C3%25A9ternelle%2B&source=wantit&subject=Je+veux+%3A+Rose+%C3%A9ternelle+"
"Pod Lumineux Jetable Tribal Puff Force Mix Berries (Framboises) 600 Puffs 0mg","https://www.vinted.fr/hogar/decoracion/velas-y-portavelas-1956/2620443678-pod-lumineux-jetable-tribal-puff-force-mix-berries-framboises-600-puffs-0mg","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620443678&receiver_id=129599959&ref_url=%2Fitems%2F2620443678%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129599959%26ref_url%3D%252Fmaison%252Fdecoration%252Fbougies-et-bougeoirs-1956%252F2620443678-pod-lumineux-jetable-tribal-puff-force-mix-berries-framboises-600-puffs-0mg%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BPod%2BLumineux%2BJetable%2BTribal%2BPuff%2BForce%2BMix%2BBerries%2B%2528Framboises%2529%2B600%2BPuffs%2B0mg&source=wantit&subject=Je+veux+%3A+Pod+Lumineux+Jetable+Tribal+Puff+Force+Mix+Berries+%28Framboises%29+600+Puffs+0mg"
"Dolce Gusto Piccolo","https://www.vinted.fr/maison/arts-de-la-table/verres/cafetieres-et-theieres/2620438633-dolce-gusto-piccolo","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620438633&receiver_id=14961244&ref_url=%2Fitems%2F2620438633%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D14961244%26ref_url%3D%252Fmaison%252Farts-de-la-table%252Fverres%252Fcafetieres-et-theieres%252F2620438633-dolce-gusto-piccolo%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BDolce%2BGusto%2BPiccolo&source=wantit&subject=Je+veux+%3A+Dolce+Gusto+Piccolo"
"Tu peux faire tou","https://www.vinted.fr/maison/decoration/horloges/horloges-de-table/2620435318-tu-peux-faire-tou","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620435318&receiver_id=119698517&ref_url=%2Fitems%2F2620435318%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D119698517%26ref_url%3D%252Fmaison%252Fdecoration%252Fhorloges%252Fhorloges-de-table%252F2620435318-tu-peux-faire-tou%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BTu%2Bpeux%2Bfaire%2Btou&source=wantit&subject=Je+veux+%3A+Tu+peux+faire+tou"
"Affiche Poliakov","https://www.vinted.fr/home/decoratie/lijsten/2620502370-affiche-poliakov","https://vinted.fr/member/signup?button_name=message&ch=wd&item_id=2620502370&receiver_id=41180558&ref_url=%2Fitems%2F2620502370%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D41180558%26ref_url%3D%252Fmaison%252Fdecoration%252Fencadrements%252F2620502370-affiche-poliakov%26source%3Dwantit%26subject%3DJe%2Bveux%2B%253A%2BAffiche%2BPoliakov&source=wantit&subject=Je+veux+%3A+Affiche+Poliakov"
