"Название товара","Ссылка на продавца","Ссылка на чат"
"Overboard cromado ","https://es.wallapop.com/item/overboard-cromado-869594336","https://es.wallapop.com/app/chat?itemId=9jd21kd9en6k"
"Láser Venus ","https://es.wallapop.com/item/laser-venus-869594211","https://es.wallapop.com/app/chat?itemId=0j23o4923r6y"
"uncharted4","https://es.wallapop.com/item/uncharted4-869594156","https://es.wallapop.com/app/chat?itemId=qzmy0egx9lzv"
"Monitor ","https://es.wallapop.com/item/monitor-869594150","https://es.wallapop.com/app/chat?itemId=pzprx28oym63"
"Puff convertible en cama plegable ","https://es.wallapop.com/item/puff-convertible-en-cama-plegable-869594026","https://es.wallapop.com/app/chat?itemId=pzprx28qp563"
"Sony a6000","https://es.wallapop.com/item/sony-a6000-869594432","https://es.wallapop.com/app/chat?itemId=qzmy0egx0ozv"
"PS5 Digital + 2 mandos ","https://es.wallapop.com/item/ps5-digital---2-mandos-869594424","https://es.wallapop.com/app/chat?itemId=e65gd8mkdmjo"
"Katherine Masajes ","https://es.wallapop.com/item/katherine-masajes-869593707","https://es.wallapop.com/app/chat?itemId=p61ym4925765"
"reloj smart","https://es.wallapop.com/item/reloj-smart-869594289","https://es.wallapop.com/app/chat?itemId=wzvnd49e2qjl"
"Trio carrito bebé Chicco","https://es.wallapop.com/item/trio-carrito-bebe-chicco-869593344","https://es.wallapop.com/app/chat?itemId=wzy5g4e0pej5"
"vespa GT 200 L 25.000km","https://es.wallapop.com/item/vespa-gt-200-l-25-000km-869593388","https://es.wallapop.com/app/chat?itemId=v6g23gmrxlze"
"Plafones encastrados ducha/cocina","https://es.wallapop.com/item/plafones-encastrados-ducha-cocina-869593853","https://es.wallapop.com/app/chat?itemId=qjwpg4l8g4zo"
"Samsung","https://es.wallapop.com/item/samsung-869593669","https://es.wallapop.com/app/chat?itemId=3zl1p8er8pjx"
"Botas de fútbol adidas predator ","https://es.wallapop.com/item/botas-de-futbol-adidas-predator-869594379","https://es.wallapop.com/app/chat?itemId=p61ym493d765"
"New Balance 550 Aimé Leon Dore","https://es.wallapop.com/item/new-balance-550-aime-leon-dore-869594382","https://es.wallapop.com/app/chat?itemId=8j3ek4vdg8z9"
"zapatillas Adidas ","https://es.wallapop.com/item/zapatillas-adidas-869594374","https://es.wallapop.com/app/chat?itemId=pzprx28o5l63"
