"Название товара","Ссылка на продавца","Ссылка на чат"
"Decoración del hogar ","https://es.wallapop.com/item/decoracion-del-hogar-869187173","https://es.wallapop.com/app/chat?itemId=mzn87vn2m2zn"
"Cubre Piernas Termoscud - Nmax 125","https://es.wallapop.com/item/cubre-piernas-termoscud-nmax-125-869186745","https://es.wallapop.com/app/chat?itemId=3zl1p9y13njx"
"Camiseta Desigual ","https://es.wallapop.com/item/camiseta-desigual-869186288","https://es.wallapop.com/app/chat?itemId=v6g231y187ze"
"Botas pelo zorro","https://es.wallapop.com/item/botas-pelo-natural-869187113","https://es.wallapop.com/app/chat?itemId=pj950gwmv2ze"
"Apple Pencil Generation 1","https://es.wallapop.com/item/apple-pencil-generation-1-869187086","https://es.wallapop.com/app/chat?itemId=4z412g5enlzy"
"Ready for Advanced coursebook with eBook and key ","https://es.wallapop.com/item/ready-for-advanced-coursebook-with-ebook-and-key-869186996","https://es.wallapop.com/app/chat?itemId=e65gd3n8g0jo"
"CONMUTADOR EN LA COLUMNA DE DIRECCIÓN ","https://es.wallapop.com/item/conmutador-en-la-columna-de-direccion-869186993","https://es.wallapop.com/app/chat?itemId=3zl1p9y812jx"
"Play Station 4","https://es.wallapop.com/item/play-station-4-869186398","https://es.wallapop.com/app/chat?itemId=pzprx10r1l63"
"Lavadora y nevera","https://es.wallapop.com/item/lavadora-y-nevera-869186927","https://es.wallapop.com/app/chat?itemId=nz001ve4g7zo"
"Ossa E-74 ","https://es.wallapop.com/item/ossa-e-74-869186233","https://es.wallapop.com/app/chat?itemId=xzorwvpv5lz9"
"Funko Pop Dustin (Stranger Things)","https://es.wallapop.com/item/funko-pop-dustin-stranger-things-869186221","https://es.wallapop.com/app/chat?itemId=3zl1p9y9lpjx"
"minox 35 ml,camara de fotos de ha e 40 años","https://es.wallapop.com/item/minox-35-ml-camara-de-fotos-de-ha-e-40-anos-869186822","https://es.wallapop.com/app/chat?itemId=8z84pg74ml63"
"vendo sillas y mesas para televisión ","https://es.wallapop.com/item/vendo-sillas-y-mesas-para-television-869186666","https://es.wallapop.com/app/chat?itemId=x6qd197d8yjy"
"Canon EOS M100","https://es.wallapop.com/item/canon-eos-m100-869186547","https://es.wallapop.com/app/chat?itemId=ejkkn9ykd9jx"
"Archivadores personalizados con fotos frases ...","https://es.wallapop.com/item/archivadores-personalizados-con-fotos-frases-869186540","https://es.wallapop.com/app/chat?itemId=v6g231y2elze"
"Nevera saivod y lavadora beko 9kg","https://es.wallapop.com/item/nevera-saivod-y-lavadora-beko-9kg-869186050","https://es.wallapop.com/app/chat?itemId=pzprx101x563"
"Aplique exterior/interior E27 (Nuevo)","https://es.wallapop.com/item/aplique-exterior-interior-e27-nuevo-869186438","https://es.wallapop.com/app/chat?itemId=4z412g51elzy"
"Cinta de andar ","https://es.wallapop.com/item/cinta-de-andar-869186141","https://es.wallapop.com/app/chat?itemId=wzvndlol74jl"
"vitrina metal/blanco 34x30x116cm","https://es.wallapop.com/item/vitrina-metal-blanco-34x30x116cm-869186128","https://es.wallapop.com/app/chat?itemId=w67yng0g556x"
" Redmi note 9 pro 128gb","https://es.wallapop.com/item/redmi-note-9-pro-128gb-869186102","https://es.wallapop.com/app/chat?itemId=pzprx101qm63"
"QUEMADOR BIOMASA Y-20 NATURAL FIRE, CON TOLVA ","https://es.wallapop.com/item/quemador-biomasa-y-20-natural-fire-con-tolva-869186356","https://es.wallapop.com/app/chat?itemId=qzmy035y4yzv"
"Microbiología Clínica ","https://es.wallapop.com/item/microbiologia-clinica-869186338","https://es.wallapop.com/app/chat?itemId=4z412g51yrzy"
