"Название товара","Ссылка на продавца","Ссылка на чат"
"jaula normal","https://es.wallapop.com/item/jaula-normal-870688032","https://es.wallapop.com/app/chat?itemId=qzmy0o75ygzv"
"chándal Nike Air Max ","https://es.wallapop.com/item/chandal-nike-air-max-870688933","https://es.wallapop.com/app/chat?itemId=xzorw3xn4wz9"
"Vendo Tiara Pronovias ","https://es.wallapop.com/item/vendo-tiara-pronovias-870688854","https://es.wallapop.com/app/chat?itemId=nzx0gwrkpez2"
"chaqueta de punto niño ","https://es.wallapop.com/item/chaqueta-de-punto-nino-870688845","https://es.wallapop.com/app/chat?itemId=3zl1pk0lpqjx"
"Mochila TOUS negra colección LOGOGRAM.","https://es.wallapop.com/item/mochila-tous-negra-coleccion-logogram-870688175","https://es.wallapop.com/app/chat?itemId=nz001wrey7zo"
"blazer","https://es.wallapop.com/item/blazer-870688731","https://es.wallapop.com/app/chat?itemId=p61ymk5rq765"
"Chaqueta Monclear Real ","https://es.wallapop.com/item/chaqueta-monclear-real-870688644","https://es.wallapop.com/app/chat?itemId=wzy5gxy24vj5"
"chaqueta piel mujer ","https://es.wallapop.com/item/chaqueta-piel-mujer-870688623","https://es.wallapop.com/app/chat?itemId=ejkkneplkqjx"
"Zapato tipo botines","https://es.wallapop.com/item/zapato-tipo-botines-870688597","https://es.wallapop.com/app/chat?itemId=mzn87ow5v7zn"
"Disfraz inflable dinosaurio ","https://es.wallapop.com/item/disfraz-inflable-dinosaurio-870688538","https://es.wallapop.com/app/chat?itemId=4z412n0pyvzy"
"Vestido verde","https://es.wallapop.com/item/vestido-verde-870689156","https://es.wallapop.com/app/chat?itemId=qzmy0o7r4lzv"
"chaqueta nueva mujer ","https://es.wallapop.com/item/chaqueta-nueva-mujer-870689081","https://es.wallapop.com/app/chat?itemId=xzorw3xne4z9"
"Bolso nuevo ","https://es.wallapop.com/item/bolso-nuevo-870688486","https://es.wallapop.com/app/chat?itemId=4z412n05wwzy"
"Chaleco negro","https://es.wallapop.com/item/chaleco-negro-870688439","https://es.wallapop.com/app/chat?itemId=36exmp8ylqzd"
