"Название товара","Ссылка на продавца","Ссылка на чат"
"VESTIDO DE PRIMERA COMUNIÓN ","https://es.wallapop.com/item/vestido-de-primera-comunion-869264012","https://es.wallapop.com/app/chat?itemId=9jd212dp3l6k"
"vestido ajustado blanco ","https://es.wallapop.com/item/vestido-ajustado-blanco-869263886","https://es.wallapop.com/app/chat?itemId=4z4121om9lzy"
"Vestido midi canalé Stradivarius","https://es.wallapop.com/item/vestido-midi-canale-stradivarius-869263808","https://es.wallapop.com/app/chat?itemId=qzmy0ygk0ozv"
"pantalón corto ","https://es.wallapop.com/item/pantalon-corto-869263735","https://es.wallapop.com/app/chat?itemId=0j23o39xgn6y"
"Pantalones ","https://es.wallapop.com/item/pantalones-869264209","https://es.wallapop.com/app/chat?itemId=xzorwrkpglz9"
"botas invierno","https://es.wallapop.com/item/botas-invierno-869263586","https://es.wallapop.com/app/chat?itemId=4z4121om1vzy"
"zapatillas fila ","https://es.wallapop.com/item/zapatillas-fila-869263561","https://es.wallapop.com/app/chat?itemId=pj9505d9gkze"
"Bolso de Tous","https://es.wallapop.com/item/bolso-de-tous-869264649","https://es.wallapop.com/app/chat?itemId=mzn8784540zn"
"Botas gamuza ","https://es.wallapop.com/item/botas-gamuza-869264559","https://es.wallapop.com/app/chat?itemId=0j23o39v5d6y"
"Zapatos VANS pastel","https://es.wallapop.com/item/zapatos-vans-pastel-869264545","https://es.wallapop.com/app/chat?itemId=3zl1p1eyl4jx"
"Bambas","https://es.wallapop.com/item/bambas-869264410","https://es.wallapop.com/app/chat?itemId=8j3ekevql2z9"
"Pantalón largo hombre t36","https://es.wallapop.com/item/pantalon-largo-hombre-t36-869264378","https://es.wallapop.com/app/chat?itemId=nzx0g0d2g5z2"
