"Название товара","Ссылка на продавца","Ссылка на чат"
"Barça ou Barzakh!","https://es.wallapop.com/item/barca-ou-barzakh-868989175","https://es.wallapop.com/app/chat?itemId=nz001v05krzo"
"Generador diesel KOHLER 9 EFORZ (9000w)","https://es.wallapop.com/item/generador-diesel-kohler-9-eforz-9000w-868989166","https://es.wallapop.com/app/chat?itemId=x6qd19dpg5jy"
"Tabla de surf de Spiderman","https://es.wallapop.com/item/tabla-de-surf-de-spiderman-868989944","https://es.wallapop.com/app/chat?itemId=wzy5g75dnxj5"
"Malaguti  xtm 49cc","https://es.wallapop.com/item/malaguti-xtm-49cc-868989867","https://es.wallapop.com/app/chat?itemId=vjrrm9rnl9jk"
"Llantas","https://es.wallapop.com/item/llantas-868988967","https://es.wallapop.com/app/chat?itemId=vjrrm9r018jk"
"Tabla snow bataleon","https://es.wallapop.com/item/tabla-snow-bataleon-868988827","https://es.wallapop.com/app/chat?itemId=nz001v05vezo"
"Televisor y Decodificador HD","https://es.wallapop.com/item/televisor-y-decodificador-hd-868988818","https://es.wallapop.com/app/chat?itemId=x6qd19dp9njy"
"Moto kawasaki J300 IMPECABLE","https://es.wallapop.com/item/moto-kawasaki-j300-impecable-868988805","https://es.wallapop.com/app/chat?itemId=qjwpgdpkykzo"
"Cuadros pintados a mano","https://es.wallapop.com/item/cuadros-pintados-a-mano-868987773","https://es.wallapop.com/app/chat?itemId=mzn87v8nwyzn"
"Nike air Jordan 6 retro ""Midnight Navy"" ","https://es.wallapop.com/item/nike-air-jordan-6-retro-midnight-navy-868987770","https://es.wallapop.com/app/chat?itemId=8z84pg475d63"
"calefactor ","https://es.wallapop.com/item/calefactor-868988250","https://es.wallapop.com/app/chat?itemId=pzprx1rp1463"
"Lote bebé","https://es.wallapop.com/item/lote-bebe-868988225","https://es.wallapop.com/app/chat?itemId=mzn87v85lkzn"
"Mobiliario de forja y herrería ","https://es.wallapop.com/item/mobiliario-de-forja-y-herreria-868988034","https://es.wallapop.com/app/chat?itemId=8j3ekxeq11z9"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-868988030","https://es.wallapop.com/app/chat?itemId=nzx0gy027pz2"
"Colgador ","https://es.wallapop.com/item/colgador-868989368","https://es.wallapop.com/app/chat?itemId=wzy5g75mnxj5"
"Foco iluminación retro","https://es.wallapop.com/item/foco-iluminacion-retro-868989367","https://es.wallapop.com/app/chat?itemId=vjrrm9rnd4jk"
"Piano, Teclado, Casiotone","https://es.wallapop.com/item/piano-teclado-casiotone-868989752","https://es.wallapop.com/app/chat?itemId=w67yngym276x"
"mt07 2019","https://es.wallapop.com/item/mt07-2019-868989729","https://es.wallapop.com/app/chat?itemId=qjwpgdpxwqzo"
"sinfonier con bañera y cambiador bebe ","https://es.wallapop.com/item/sinfonier-con-banera-y-cambiador-bebe-868989732","https://es.wallapop.com/app/chat?itemId=qzmy03yqd1zv"
"Neumatico Mitas E09","https://es.wallapop.com/item/neumatico-mitas-e09-868987719","https://es.wallapop.com/app/chat?itemId=vjrrm9rwq8jk"
"tinto barrantes","https://es.wallapop.com/item/tinto-barrantes-868988194","https://es.wallapop.com/app/chat?itemId=8z84pg4xqr63"
"Mueble de salón para TV","https://es.wallapop.com/item/mueble-de-salon-para-tv-868988170","https://es.wallapop.com/app/chat?itemId=8z84pg4xvr63"
"Moneda de 50 centavos del 2009","https://es.wallapop.com/item/moneda-de-50-centavos-del-2009-868989018","https://es.wallapop.com/app/chat?itemId=x6qd19dpwejy"
"Cama matrimonio ","https://es.wallapop.com/item/cama-matrimonio-868989687","https://es.wallapop.com/app/chat?itemId=36exmnx3kkzd"
