"Название товара","Ссылка на продавца","Ссылка на чат"
"chaqueta moto Alpinestar talla 2xl","https://es.wallapop.com/item/chaqueta-moto-alpinestar-talla-2xl-868538627","https://es.wallapop.com/app/chat?itemId=nz001gqr1dzo"
"conjunto dormitorio matrimonio ","https://es.wallapop.com/item/conjunto-dormitorio-matrimonio-868538467","https://es.wallapop.com/app/chat?itemId=vjrrmk74ewjk"
"nintendo switch oled como nueva","https://es.wallapop.com/item/nintendo-switch-oled-como-nueva-868538446","https://es.wallapop.com/app/chat?itemId=8z84pqx5ko63"
"Litera","https://es.wallapop.com/item/litera-868538375","https://es.wallapop.com/app/chat?itemId=nz001gqrm7zo"
"Xiaomi Redmi 10 5G 128GB 2022","https://es.wallapop.com/item/xiaomi-redmi-10-5g-128gb-2022-868533901","https://es.wallapop.com/app/chat?itemId=mzn87gn9o7zn"
"Se vende botas de nieve marca Salomon","https://es.wallapop.com/item/se-vende-botas-de-nieve-marca-salomon-868533884","https://es.wallapop.com/app/chat?itemId=9jd21xyg8l6k"
"Piano ","https://es.wallapop.com/item/piano-868533833","https://es.wallapop.com/app/chat?itemId=xzorwlpe24z9"
"Limitado DYSON HS05 AIRWRAP COMPLETO AZUL ROSA","https://es.wallapop.com/item/limitado-dyson-hs05-airwrap-completo-azul-rosa-868536540","https://es.wallapop.com/app/chat?itemId=v6g230l1dnze"
"Sony Fdr Ax33","https://es.wallapop.com/item/sony-fdr-ax33-868536528","https://es.wallapop.com/app/chat?itemId=w67yn3wgm86x"
"Coche stoke ","https://es.wallapop.com/item/coche-stoke-868536515","https://es.wallapop.com/app/chat?itemId=36exmdln2vzd"
"vendo movil samsung galaxy j4 core ","https://es.wallapop.com/item/vendo-movil-samsung-galaxy-j4-core-868537927","https://es.wallapop.com/app/chat?itemId=nz001gq8wrzo"
"faro xenon Audi a3 ","https://es.wallapop.com/item/faro-xenon-audi-a3-868537918","https://es.wallapop.com/app/chat?itemId=x6qd1k0qv5jy"
"Silla Gaming Woxter Stinger Station Master Cool","https://es.wallapop.com/item/silla-gaming-woxter-stinger-station-master-cool-868535450","https://es.wallapop.com/app/chat?itemId=pzprxyp9y963"
"CINTA DE CORRER DOMIOS ","https://es.wallapop.com/item/cinta-de-correr-domios-868535398","https://es.wallapop.com/app/chat?itemId=pzprxypyll63"
"cuidadora de personas mayores ","https://es.wallapop.com/item/cuidadora-de-personas-mayores-868535381","https://es.wallapop.com/app/chat?itemId=xzorwlnly2z9"
"mostrador para tienda ","https://es.wallapop.com/item/mostrador-para-tienda-868534728","https://es.wallapop.com/app/chat?itemId=w67yn3w8086x"
"vendo  bicicleta ","https://es.wallapop.com/item/vendo-bicicleta-868534704","https://es.wallapop.com/app/chat?itemId=w67yn3w8286x"
"Porta esquíes y barras Thule","https://es.wallapop.com/item/porta-esquies-y-barras-thule-868536341","https://es.wallapop.com/app/chat?itemId=wzvndrml54jl"
"Un sofá cama","https://es.wallapop.com/item/un-sofa-cama-868536310","https://es.wallapop.com/app/chat?itemId=8j3ekmnxo7z9"
"Bicicleta de paseo","https://es.wallapop.com/item/bicicleta-de-paseo-868536289","https://es.wallapop.com/app/chat?itemId=wzvndrmlvrjl"
"Carrito bebecar 3 piezas","https://es.wallapop.com/item/carrito-bebecar-3-piezas-868536125","https://es.wallapop.com/app/chat?itemId=mzn87g5v22zn"
"Se vende pit bike","https://es.wallapop.com/item/se-vende-pit-bike-868536120","https://es.wallapop.com/app/chat?itemId=wzy5gl274ej5"
"Opel Agila 2004","https://es.wallapop.com/item/opel-agila-2004-868536076","https://es.wallapop.com/app/chat?itemId=w67yn3wggy6x"
"filtros de arena ","https://es.wallapop.com/item/filtros-de-arena-868536078","https://es.wallapop.com/app/chat?itemId=nzx0glkyyez2"
"Nintendo Switch totalmente nueva","https://es.wallapop.com/item/nintendo-switch-totalmente-nueva-868536079","https://es.wallapop.com/app/chat?itemId=p61ymvr77565"
"mesa de comedor ","https://es.wallapop.com/item/mesa-de-comedor-868533423","https://es.wallapop.com/app/chat?itemId=ejkknxygwqjx"
"🥇IPHONE X🔥","https://es.wallapop.com/item/iphone-x-868533411","https://es.wallapop.com/app/chat?itemId=0j23owv0kr6y"
"Abrigo","https://es.wallapop.com/item/abrigo-868534241","https://es.wallapop.com/app/chat?itemId=wzvndroxw7jl"
"Chaqueta Moncler","https://es.wallapop.com/item/chaqueta-moncler-868534230","https://es.wallapop.com/app/chat?itemId=nzx0gl231ez2"
"Chollo se venden Urgente!!!","https://es.wallapop.com/item/chollo-se-venden-urgente-868534154","https://es.wallapop.com/app/chat?itemId=nzx0gl2325z2"
"bicicleta montaña  talla S","https://es.wallapop.com/item/bicicleta-montana-talla-s-868535943","https://es.wallapop.com/app/chat?itemId=vjrrmk7d08jk"
"Volante Thrustmaster T150 PRO","https://es.wallapop.com/item/volante-thrustmaster-t150-pro-868535928","https://es.wallapop.com/app/chat?itemId=w67yn3wd186x"
"bolso Louis Vuitton ","https://es.wallapop.com/item/bolso-louis-vuitton-868535897","https://es.wallapop.com/app/chat?itemId=mzn87g5lnkzn"
"Armario expositor congelador","https://es.wallapop.com/item/armario-expositor-congelador-868538936","https://es.wallapop.com/app/chat?itemId=9jd21xln7n6k"
"El balón es el teamgeist 2006","https://es.wallapop.com/item/el-balon-es-el-teamgeist-2006-868538915","https://es.wallapop.com/app/chat?itemId=36exmdlpdvzd"
"IPHONE 11 PRO","https://es.wallapop.com/item/iphone-11-pro-868538895","https://es.wallapop.com/app/chat?itemId=ejkknxle2qjx"
"bicicleta","https://es.wallapop.com/item/bicicleta-868537745","https://es.wallapop.com/app/chat?itemId=3zl1p4lme2jx"
"PATINETE ELÉCTRICO XIAOMI ASSENCIALT ","https://es.wallapop.com/item/patinete-electrico-xiaomi-assencialt-868537746","https://es.wallapop.com/app/chat?itemId=8z84pqx8vd63"
"CHAQUETA TRAPSTAR NEGRA","https://es.wallapop.com/item/chaqueta-trapstar-negra-868535748","https://es.wallapop.com/app/chat?itemId=e65gdv0yd2jo"
"iPhone 7","https://es.wallapop.com/item/iphone-7-868535696","https://es.wallapop.com/app/chat?itemId=e65gdv0yepjo"
"nevera/frigorífico whirlpool ","https://es.wallapop.com/item/nevera-frigorifico-whirlpool-868535663","https://es.wallapop.com/app/chat?itemId=36exmdlweqzd"
