"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-872358618","https://es.wallapop.com/app/chat?itemId=x6qd1148wejy"
"mueble de comedor ","https://es.wallapop.com/item/mueble-de-comedor-872358599","https://es.wallapop.com/app/chat?itemId=nz0011w327zo"
"Monitor de Audio para Bebé ","https://es.wallapop.com/item/monitor-de-audio-para-bebe-872358592","https://es.wallapop.com/app/chat?itemId=wzy5ggx8opj5"
"NB","https://es.wallapop.com/item/nb-872358586","https://es.wallapop.com/app/chat?itemId=4z4122n4rrzy"
"bicicleta 14""","https://es.wallapop.com/item/bicicleta-14-872358311","https://es.wallapop.com/app/chat?itemId=0j23oo1l0m6y"
"BATERÍA NUEVA ","https://es.wallapop.com/item/bateria-nueva-872358300","https://es.wallapop.com/app/chat?itemId=e65gddplx2jo"
"moto de juguete","https://es.wallapop.com/item/moto-de-juguete-872358298","https://es.wallapop.com/app/chat?itemId=pzprxxgml563"
"INSTAX MINI FUJIFILM COMO NUEVA","https://es.wallapop.com/item/instax-mini-fujifilm-como-nueva-872358463","https://es.wallapop.com/app/chat?itemId=36exmmpk18zd"
"Taladro percutor Hitachi DH25DL","https://es.wallapop.com/item/taladro-percutor-hitachi-dh25dl-872361357","https://es.wallapop.com/app/chat?itemId=xzorww3n25z9"
"Iphone 11 pro max 64 gb","https://es.wallapop.com/item/iphone-11-pro-max-64-gb-872358191","https://es.wallapop.com/app/chat?itemId=vjrrmmo35ljk"
"Raqueta Head Speed MP","https://es.wallapop.com/item/raqueta-head-speed-mp-872358174","https://es.wallapop.com/app/chat?itemId=pzprxxgmek63"
"Rochit ","https://es.wallapop.com/item/rochit-872358162","https://es.wallapop.com/app/chat?itemId=4z4122nl9mzy"
"Vestido de comunion","https://es.wallapop.com/item/vestido-de-comunion-872358163","https://es.wallapop.com/app/chat?itemId=36exmmpr4yzd"
"Tienda de campaña quechua ","https://es.wallapop.com/item/tienda-de-campana-quechua-872358872","https://es.wallapop.com/app/chat?itemId=e65gddp5xpjo"
"Nintendo Switch no mariko","https://es.wallapop.com/item/nintendo-switch-no-mariko-872358863","https://es.wallapop.com/app/chat?itemId=36exmmpk2qzd"
"Cama plegable de 80 cm","https://es.wallapop.com/item/cama-plegable-de-80-cm-872358129","https://es.wallapop.com/app/chat?itemId=qjwpgg7n8qzo"
"Lote de libros...","https://es.wallapop.com/item/lote-de-libros-872358117","https://es.wallapop.com/app/chat?itemId=wzvndd0551jl"
"Elíptica ","https://es.wallapop.com/item/eliptica-872358121","https://es.wallapop.com/app/chat?itemId=3zl1ppk7r4jx"
"litera abatible Clei","https://es.wallapop.com/item/litera-abatible-clei-872358101","https://es.wallapop.com/app/chat?itemId=mzn877oxx2zn"
"lampara","https://es.wallapop.com/item/lampara-872358090","https://es.wallapop.com/app/chat?itemId=x6qd114o1ejy"
"Libros infantiles ","https://es.wallapop.com/item/libros-infantiles-872357797","https://es.wallapop.com/app/chat?itemId=mzn877oxg7zn"
"Suzuki Ignis 1.3 83cv GL 4WD GASOLINA KLM 81000 ","https://es.wallapop.com/item/suzuki-ignis-1-3-83cv-gl-4wd-gasolina-klm-81000-872357785","https://es.wallapop.com/app/chat?itemId=pj9500xlkkze"
"Nissan Almera 2003 sedan.","https://es.wallapop.com/item/nissan-almera-2003-sedan-872357776","https://es.wallapop.com/app/chat?itemId=w67ynn7l856x"
"MUEBLE SALON DE MADERA","https://es.wallapop.com/item/mueble-salon-de-madera-872358363","https://es.wallapop.com/app/chat?itemId=36exmmpkdnzd"
"Puma","https://es.wallapop.com/item/puma-872359588","https://es.wallapop.com/app/chat?itemId=v6g2337x22ze"
"Redmi9A","https://es.wallapop.com/item/redmi9a-872359567","https://es.wallapop.com/app/chat?itemId=vjrrmmo594jk"
"nuevo con una funda","https://es.wallapop.com/item/nuevo-con-una-funda-872359547","https://es.wallapop.com/app/chat?itemId=ejkknne34rjx"
"Botas de hombre Dr Martens Sussex Como Nuevas ","https://es.wallapop.com/item/botas-de-hombre-dr-martens-sussex-como-nuevas-872359542","https://es.wallapop.com/app/chat?itemId=x6qd114gyqjy"
"Hyundai Elantra 2006","https://es.wallapop.com/item/hyundai-elantra-2006-872357976","https://es.wallapop.com/app/chat?itemId=w67ynn7lk86x"
"Cocina de butano ","https://es.wallapop.com/item/cocina-de-butano-872357945","https://es.wallapop.com/app/chat?itemId=3zl1ppk702jx"
"Piscina Gre 6,1 x 3,15 x 1,32","https://es.wallapop.com/item/piscina-gre-6-1-x-3-15-x-1-32-872358696","https://es.wallapop.com/app/chat?itemId=e65gddp55mjo"
"Barras paralelas de fondos","https://es.wallapop.com/item/barras-paralelas-de-fondos-872358685","https://es.wallapop.com/app/chat?itemId=pj9500x7l0ze"
"lámpara de mesa","https://es.wallapop.com/item/lampara-de-mesa-872358689","https://es.wallapop.com/app/chat?itemId=wzvndd0857jl"
"carro para bebe ","https://es.wallapop.com/item/carro-para-bebe-872358674","https://es.wallapop.com/app/chat?itemId=pzprxxgqm963"
"Triciclo","https://es.wallapop.com/item/triciclo-872358656","https://es.wallapop.com/app/chat?itemId=qzmy00o80ozv"
"Ps4 ","https://es.wallapop.com/item/ps4-872360126","https://es.wallapop.com/app/chat?itemId=pzprxxg49m63"
"juguete de carrito de bebe","https://es.wallapop.com/item/juguete-de-carrito-de-bebe-872360113","https://es.wallapop.com/app/chat?itemId=pj9500x9ykze"
"Monitor Packard Bell 22,3""","https://es.wallapop.com/item/monitor-packard-bell-22-3-872360100","https://es.wallapop.com/app/chat?itemId=e65gddpov2jo"
"casco usado 2 veces","https://es.wallapop.com/item/casco-usado-2-veces-872360086","https://es.wallapop.com/app/chat?itemId=4z4122nmowzy"
"Vestido fiesta","https://es.wallapop.com/item/vestido-fiesta-872360075","https://es.wallapop.com/app/chat?itemId=nz0011wk9dzo"
"Masajes relajantes ","https://es.wallapop.com/item/masajes-relajantes-872362097","https://es.wallapop.com/app/chat?itemId=mzn877oymkzn"
"Patines","https://es.wallapop.com/item/patines-872362095","https://es.wallapop.com/app/chat?itemId=ejkknnevwqjx"
"Silla marca Bebeconfort modelo Iseos G1( 9-18kg)","https://es.wallapop.com/item/silla-marca-bebeconfort-modelo-iseos-g1-9-18kg-872362068","https://es.wallapop.com/app/chat?itemId=wzy5ggx39vj5"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-872361088","https://es.wallapop.com/app/chat?itemId=v6g2337yw5ze"
"calefactores ","https://es.wallapop.com/item/calefactores-872361083","https://es.wallapop.com/app/chat?itemId=0j23oo1vxe6y"
"Cabecero de hierro ","https://es.wallapop.com/item/cabecero-de-hierro-872361595","https://es.wallapop.com/app/chat?itemId=ejkknnelqyjx"
"jas","https://es.wallapop.com/item/jas-872361597","https://es.wallapop.com/app/chat?itemId=mzn877o5qyzn"
"cuna","https://es.wallapop.com/item/cuna-872359953","https://es.wallapop.com/app/chat?itemId=qjwpgg7w3qzo"
"Pantalón lacoste talla L sin estrenar ","https://es.wallapop.com/item/pantalon-lacoste-talla-l-sin-estrenar-872359700","https://es.wallapop.com/app/chat?itemId=e65gddp1p0jo"
"Opel Astra 2008","https://es.wallapop.com/item/opel-astra-2008-872359671","https://es.wallapop.com/app/chat?itemId=ejkknne3pqjx"
"arte de carmen bejar ","https://es.wallapop.com/item/arte-de-carmen-bejar-872359651","https://es.wallapop.com/app/chat?itemId=nz0011wp8ezo"
"Volante compatible Con ps3,ps4,pc,xbox ..","https://es.wallapop.com/item/volante-compatible-con-ps3-ps4-pc-xbox-872359385","https://es.wallapop.com/app/chat?itemId=pj9500xpw2ze"
"bicicleta aro 26 ","https://es.wallapop.com/item/bicicleta-aro-26-872359433","https://es.wallapop.com/app/chat?itemId=xzorww3m54z9"
"Suzuki Samurai 1994","https://es.wallapop.com/item/suzuki-samurai-1994-872359424","https://es.wallapop.com/app/chat?itemId=e65gddpkwpjo"
"Cazadora de plumas niño","https://es.wallapop.com/item/cazadora-de-plumas-nino-872359417","https://es.wallapop.com/app/chat?itemId=wzvndd0e1rjl"
"Renault Master 2006","https://es.wallapop.com/item/renault-master-2006-872362471","https://es.wallapop.com/app/chat?itemId=ejkknnegkpjx"
"bicicleta de niña buen estado","https://es.wallapop.com/item/bicicleta-de-nina-buen-estado-872362449","https://es.wallapop.com/app/chat?itemId=mzn877orv0zn"
