"Название товара","Ссылка на продавца","Ссылка на чат"
"radiadores de aluminio de calafaccion de caldera","https://es.wallapop.com/item/radiadores-de-aluminio-de-calafaccion-de-caldera-871704841","https://es.wallapop.com/app/chat?itemId=wzvnd3q03rjl"
"Patinetes de dos dedos","https://es.wallapop.com/item/patinetes-de-dos-dedos-871704218","https://es.wallapop.com/app/chat?itemId=x6qd1wxvxyjy"
"Gafas de sol Ray-Ban","https://es.wallapop.com/item/gafas-de-sol-ray-ban-871704673","https://es.wallapop.com/app/chat?itemId=mzn87p0o8gzn"
"cesta de picnic antigua","https://es.wallapop.com/item/cesta-de-picnic-antigua-871704045","https://es.wallapop.com/app/chat?itemId=3zl1p5n04qjx"
"Se vende Honda Africa Twin","https://es.wallapop.com/item/se-vende-honda-africa-twin-871704070","https://es.wallapop.com/app/chat?itemId=8z84pe251o63"
"refrigerador","https://es.wallapop.com/item/refrigerador-871704065","https://es.wallapop.com/app/chat?itemId=wzvnd3q2y7jl"
"mueble,mesa grande y pequeña y lámparas.","https://es.wallapop.com/item/mueble-mesa-grande-y-pequena-y-lamparas-871704935","https://es.wallapop.com/app/chat?itemId=0j23oeq1lm6y"
"vestito lungo a fiori ","https://es.wallapop.com/item/vestito-lungo-a-fiori-871704335","https://es.wallapop.com/app/chat?itemId=0j23oeqnom6y"
"tarjetas netflixes","https://es.wallapop.com/item/tarjetas-netflixes-871704441","https://es.wallapop.com/app/chat?itemId=wzvnd3q2pqjl"
"skate","https://es.wallapop.com/item/skate-871704701","https://es.wallapop.com/app/chat?itemId=mzn87p0o22zn"
"Honda CBR600RR 2005 ","https://es.wallapop.com/item/honda-cbr600rr-2005-871704414","https://es.wallapop.com/app/chat?itemId=4z412kq0x8zy"
"AMORTIGUADORES PROFENDER ""DAKAR EXTREME""","https://es.wallapop.com/item/amortiguadores-profender-dakar-extreme-871704399","https://es.wallapop.com/app/chat?itemId=nz001dyro3zo"
"Renault Clio 2007","https://es.wallapop.com/item/renault-clio-2007-871704784","https://es.wallapop.com/app/chat?itemId=9jd21venn96k"
"RTX 2080 SUPER MSI GAMING X TRIO","https://es.wallapop.com/item/rtx-2080-super-871704775","https://es.wallapop.com/app/chat?itemId=nz001dywwrzo"
"traje fallera","https://es.wallapop.com/item/traje-fallera-871704129","https://es.wallapop.com/app/chat?itemId=qjwpg9q24qzo"
