"Название товара","Ссылка на продавца","Ссылка на чат"
"LG 34UC97","https://es.wallapop.com/item/lg-34uc97-869580095","https://es.wallapop.com/app/chat?itemId=ejkknk1qq1jx"
"moto de ortopedia","https://es.wallapop.com/item/moto-de-ortopedia-869580900","https://es.wallapop.com/app/chat?itemId=e65gdg41v2jo"
"bicicleta jl-wenti","https://es.wallapop.com/item/bicicleta-jl-wenti-869580882","https://es.wallapop.com/app/chat?itemId=8j3eke3wv1z9"
"jaulas de 1 metro y de 60cm","https://es.wallapop.com/item/jaulas-de-1-metro-y-de-60cm-869578294","https://es.wallapop.com/app/chat?itemId=8z84p4y99o63"
"Lote libros Disney","https://es.wallapop.com/item/lote-libros-disney-869579492","https://es.wallapop.com/app/chat?itemId=wzy5g5d002j5"
"Se venden cocinas de exposición por cierre.","https://es.wallapop.com/item/se-venden-cocinas-de-exposicion-por-cierre-de-nego-869580004","https://es.wallapop.com/app/chat?itemId=w67ynyqp9y6x"
"Short vaquero azul claro","https://es.wallapop.com/item/short-vaquero-azul-claro-869579408","https://es.wallapop.com/app/chat?itemId=qzmy0y2wnozv"
"VENDO MÓVIL SAMSUNG","https://es.wallapop.com/item/vendo-movil-samsung-869580458","https://es.wallapop.com/app/chat?itemId=8j3eke3dpyz9"
"Patines de ruedas","https://es.wallapop.com/item/patines-de-ruedas-869578691","https://es.wallapop.com/app/chat?itemId=vjrrmrlmqxjk"
"iPhone 12","https://es.wallapop.com/item/iphone-12-869580698","https://es.wallapop.com/app/chat?itemId=pzprxrvoe963"
"Alquilo piso en Cenicero ","https://es.wallapop.com/item/alquilo-piso-en-cenicero-869580655","https://es.wallapop.com/app/chat?itemId=p61ymyx32565"
"Acuario/Pecera","https://es.wallapop.com/item/acuario-pecera-869580639","https://es.wallapop.com/app/chat?itemId=36exmxq4rkzd"
"Juego de 6 sillas","https://es.wallapop.com/item/juego-de-6-sillas-869579855","https://es.wallapop.com/app/chat?itemId=p61ymyx24x65"
"LAMPARA UVA PARA PEGADO","https://es.wallapop.com/item/lampara-uva-para-pegado-869579829","https://es.wallapop.com/app/chat?itemId=qjwpgpm8pkzo"
"filtro de carbono","https://es.wallapop.com/item/filtro-de-carbono-869580378","https://es.wallapop.com/app/chat?itemId=nzx0g03ny7z2"
"samsug neoQled 8k 55''","https://es.wallapop.com/item/samsug-neoqled-8k-55-869580329","https://es.wallapop.com/app/chat?itemId=qjwpgpm5ewzo"
"discos y pastillas de freno originales","https://es.wallapop.com/item/discos-y-pastillas-de-freno-originales-869579776","https://es.wallapop.com/app/chat?itemId=w67ynyqpd56x"
"Se vende jog r","https://es.wallapop.com/item/se-vende-jog-r-869579744","https://es.wallapop.com/app/chat?itemId=wzy5g5d8lxj5"
"The last of us Ps5","https://es.wallapop.com/item/the-last-of-us-ps5-869579009","https://es.wallapop.com/app/chat?itemId=xzorwrew94z9"
"Bio trituradora ","https://es.wallapop.com/item/bio-trituradora-869578976","https://es.wallapop.com/app/chat?itemId=w67ynyqno76x"
"ESCAPE T MAX 17-21 TERMIGNONI","https://es.wallapop.com/item/escape-t-max-17-21-termignoni-869578973","https://es.wallapop.com/app/chat?itemId=mzn87897k2zn"
"trajes de comunión ","https://es.wallapop.com/item/trajes-de-comunion-869578198","https://es.wallapop.com/app/chat?itemId=pzprxrv3gl63"
