"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera Snipes ","https://es.wallapop.com/item/sudadera-snipes-871215733","https://es.wallapop.com/app/chat?itemId=xzorw75exwz9"
"coche de niño  50","https://es.wallapop.com/item/coche-de-nino-50-871215837","https://es.wallapop.com/app/chat?itemId=pj950vo8eoze"
"centralita Crx ed9 (d16a9-d16z5)","https://es.wallapop.com/item/centralita-crx-ed9-d16a9-d16z5-871216608","https://es.wallapop.com/app/chat?itemId=qzmy0pqglgzv"
"luces emergencia izar n30","https://es.wallapop.com/item/luces-emergencia-izar-n30-871216565","https://es.wallapop.com/app/chat?itemId=wzvndqw9p4jl"
"Collar TOUS original oso mini","https://es.wallapop.com/item/collar-tous-original-oso-mini-871216111","https://es.wallapop.com/app/chat?itemId=0j23oqpmmn6y"
"SEAT Toledo 2014","https://es.wallapop.com/item/seat-toledo-2014-871216540","https://es.wallapop.com/app/chat?itemId=v6g23edmx2ze"
"Máquina vibratoria y oscilante","https://es.wallapop.com/item/maquina-vibratoria-y-oscilante-871216531","https://es.wallapop.com/app/chat?itemId=p61ymqp93g65"
"mesa de madera de estudio y ordenador ","https://es.wallapop.com/item/mesa-de-madera-de-estudio-y-ordenador-871216216","https://es.wallapop.com/app/chat?itemId=v6g23edm15ze"
"Pinzas pelo metal","https://es.wallapop.com/item/pinzas-pelo-metal-871216423","https://es.wallapop.com/app/chat?itemId=ejkkn5g2wpjx"
"vendo patinete eléctrico averiado.","https://es.wallapop.com/item/vendo-patinete-electrico-averiado-871216407","https://es.wallapop.com/app/chat?itemId=p61ymqp9d265"
"OFERTA HOY ! JBL CHARGUE 5 NUEVO ","https://es.wallapop.com/item/oferta-hoy-jbl-chargue-5-nuevo-871216229","https://es.wallapop.com/app/chat?itemId=qjwpgqxlp4zo"
"Yantas psa","https://es.wallapop.com/item/yantas-psa-871216227","https://es.wallapop.com/app/chat?itemId=nz001yn90vzo"
"radiadores bajo consumoUFESA","https://es.wallapop.com/item/radiadores-bajo-consumoufesa-871215941","https://es.wallapop.com/app/chat?itemId=wzvndq1xe4jl"
"Reloj inteligente","https://es.wallapop.com/item/reloj-inteligente-871216094","https://es.wallapop.com/app/chat?itemId=8z84p2myol63"
"cargador Xiaomi 67w ","https://es.wallapop.com/item/cargador-xiaomi-67w-871216085","https://es.wallapop.com/app/chat?itemId=pj950vo83mze"
"Sofa 2 personas convertible grankulla IKEA ","https://es.wallapop.com/item/sofa-2-personas-convertible-grankulla-ikea-871216089","https://es.wallapop.com/app/chat?itemId=wzvndq1xwqjl"
"bicicleta plegable Marca bpro s50","https://es.wallapop.com/item/bicicleta-plegable-marca-bpro-s50-871216065","https://es.wallapop.com/app/chat?itemId=wzvndq1x1qjl"
"Pádel surf","https://es.wallapop.com/item/padel-surf-871216509","https://es.wallapop.com/app/chat?itemId=xzorw7ykq5z9"
"Calculadora científica CASIO","https://es.wallapop.com/item/calculadora-cientifica-casio-871216500","https://es.wallapop.com/app/chat?itemId=e65gd9xm52jo"
"Libro ""Cumbres Borrascosas""","https://es.wallapop.com/item/libro-cumbres-borrascosas-871216494","https://es.wallapop.com/app/chat?itemId=8z84p2ov0863"
"mochila quechua","https://es.wallapop.com/item/mochila-quechua-871216638","https://es.wallapop.com/app/chat?itemId=4z412qwo78zy"
"Playstation virtual 1 +move +camara v1","https://es.wallapop.com/item/playstation-871216642","https://es.wallapop.com/app/chat?itemId=x6qd1x5lpnjy"
