"Название товара","Ссылка на продавца","Ссылка на чат"
"invencible ","https://es.wallapop.com/item/invencible-872911598","https://es.wallapop.com/app/chat?itemId=pzprxq8q3m63"
"Vaporizador Volcano clásico","https://es.wallapop.com/item/vaporizador-volcano-clasico-872911561","https://es.wallapop.com/app/chat?itemId=pj9507d7ekze"
"Bicicleta","https://es.wallapop.com/item/bicicleta-872911560","https://es.wallapop.com/app/chat?itemId=9jd21qdqvd6k"
"Melocotón en almíbar, Ninette y un señor de murcia","https://es.wallapop.com/item/melocoton-en-almibar-ninette-y-un-senor-de-murcia-872911796","https://es.wallapop.com/app/chat?itemId=e65gd5m500jo"
"Apple Watch negro, 40 mm","https://es.wallapop.com/item/apple-watch-negro-40-mm-872911943","https://es.wallapop.com/app/chat?itemId=vjrrm8y2dljk"
"Guante de golf de mujer Nike Elite Feel","https://es.wallapop.com/item/guante-de-golf-de-mujer-nike-elite-feel-872911940","https://es.wallapop.com/app/chat?itemId=v6g23qm54lze"
"VELA ARTESANA DE MIEL","https://es.wallapop.com/item/vela-artesana-de-miel-872911934","https://es.wallapop.com/app/chat?itemId=8j3ek9vdylz9"
"zapatos negros de piel de medio tacón de Ulanka","https://es.wallapop.com/item/zapatos-negros-de-piel-de-medio-tacon-de-ulanka-872911920","https://es.wallapop.com/app/chat?itemId=wzy5g8epnej5"
"defensa 206 gti","https://es.wallapop.com/item/defensa-206-gti-872911724","https://es.wallapop.com/app/chat?itemId=e65gd5m510jo"
"Podemos Arceus","https://es.wallapop.com/item/podemos-arceus-872911723","https://es.wallapop.com/app/chat?itemId=ejkknq2q3yjx"
"CORREPASILLOS O COCHE PARA NIÑOS","https://es.wallapop.com/item/correpasillos-o-coche-para-ninos-872912430","https://es.wallapop.com/app/chat?itemId=nzx0g8dn3ez2"
"armario cama encastable","https://es.wallapop.com/item/armario-cama-encastable-872912424","https://es.wallapop.com/app/chat?itemId=e65gd5mk4mjo"
"Rodillera Ultraligera DONJOY ","https://es.wallapop.com/item/rodillera-ultraligera-donjoy-872911769","https://es.wallapop.com/app/chat?itemId=3zl1prery2jx"
"Thegrefg, Goorgo y MethodZ Team Heretics","https://es.wallapop.com/item/thegrefg-goorgo-y-methodz-team-heretics-872911756","https://es.wallapop.com/app/chat?itemId=qzmy08g85yzv"
"Libro Economía 1ºBTO Algaida ","https://es.wallapop.com/item/libro-economia-1bto-algaida-872911743","https://es.wallapop.com/app/chat?itemId=vjrrm8y8g8jk"
"1","https://es.wallapop.com/item/1-872911293","https://es.wallapop.com/app/chat?itemId=3zl1pre7oqjx"
"Acer Aspire one ","https://es.wallapop.com/item/acer-aspire-one-872911275","https://es.wallapop.com/app/chat?itemId=nz00139l7vzo"
"Sartén nueva","https://es.wallapop.com/item/sarten-nueva-872911269","https://es.wallapop.com/app/chat?itemId=3zl1pre7vqjx"
"Vestido ","https://es.wallapop.com/item/vestido-872912097","https://es.wallapop.com/app/chat?itemId=mzn87q4100zn"
"Gilera Coguar 125cc","https://es.wallapop.com/item/gilera-coguar-125cc-872912080","https://es.wallapop.com/app/chat?itemId=qzmy08gxoxzv"
"La pastelería Bliss","https://es.wallapop.com/item/la-pasteleria-bliss-872912547","https://es.wallapop.com/app/chat?itemId=ejkknq23k9jx"
"videojuego Play Statuon","https://es.wallapop.com/item/videojuego-play-statuon-872912537","https://es.wallapop.com/app/chat?itemId=pj9507d2g2ze"
"Pajarera ","https://es.wallapop.com/item/pajarera-872912530","https://es.wallapop.com/app/chat?itemId=nzx0g8dxymz2"
"Lencería ❤️","https://es.wallapop.com/item/lenceria-872912521","https://es.wallapop.com/app/chat?itemId=3zl1pre294jx"
