"Название товара","Ссылка на продавца","Ссылка на чат"
"Carrito de bebé","https://es.wallapop.com/item/carrito-de-bebe-870767581","https://es.wallapop.com/app/chat?itemId=xzorw3wwgwz9"
"tarjeta de sonido complete audio 6","https://es.wallapop.com/item/tarjeta-de-sonido-complete-audio-6-870767764","https://es.wallapop.com/app/chat?itemId=v6g23733r2ze"
"Libros infantiles","https://es.wallapop.com/item/libros-infantiles-870766939","https://es.wallapop.com/app/chat?itemId=36exmpmgnyzd"
"Moneda 2 euros de Lituania 2015","https://es.wallapop.com/item/moneda-2-euros-de-lituania-2015-870767677","https://es.wallapop.com/app/chat?itemId=qjwpg7gg1gzo"
"Padded Jacket","https://es.wallapop.com/item/padded-jacket-870767647","https://es.wallapop.com/app/chat?itemId=ejkknenn5pjx"
"El Valle de los Lobos, parte 1, Laura Gallego ","https://es.wallapop.com/item/el-valle-de-los-lobos-parte-1-laura-gallego-870767071","https://es.wallapop.com/app/chat?itemId=ejkknenw5pjx"
"Cinta pelicula VHS DARYL D.A.R Y.L.","https://es.wallapop.com/item/cinta-pelicula-vhs-daryl-d-a-r-y-l-870767069","https://es.wallapop.com/app/chat?itemId=3zl1pkpxn8jx"
"carrito ninyo ","https://es.wallapop.com/item/carrito-ninyo-870767045","https://es.wallapop.com/app/chat?itemId=3zl1pkpxk8jx"
"busco empleo ","https://es.wallapop.com/item/busco-empleo-870767039","https://es.wallapop.com/app/chat?itemId=36exmpmg8qzd"
"litera","https://es.wallapop.com/item/litera-870767602","https://es.wallapop.com/app/chat?itemId=pzprxgxxd563"
"Pinza pelo","https://es.wallapop.com/item/pinza-pelo-870767181","https://es.wallapop.com/app/chat?itemId=xzorw3wow5z9"
"Padre Rico padre pobre ","https://es.wallapop.com/item/padre-rico-padre-pobre-870767161","https://es.wallapop.com/app/chat?itemId=pj950x0q0kze"
"Fundamentos de economía","https://es.wallapop.com/item/fundamentos-de-economia-870767281","https://es.wallapop.com/app/chat?itemId=xzorw3wo9lz9"
"SECADORA X AIRE","https://es.wallapop.com/item/secadora-x-aire-870767263","https://es.wallapop.com/app/chat?itemId=36exmpmg78zd"
"Trituradora de prensador de ajos","https://es.wallapop.com/item/trituradora-de-prensador-de-ajos-870767727","https://es.wallapop.com/app/chat?itemId=nz001w11x3zo"
"2 Lamparas techo","https://es.wallapop.com/item/2-lamparas-techo-870767683","https://es.wallapop.com/app/chat?itemId=0j23o1oogv6y"
"Estadística Descriptiva. Teoría y Ejercicios Uned","https://es.wallapop.com/item/estadistica-descriptiva-teoria-y-ejercicios-uned-870767690","https://es.wallapop.com/app/chat?itemId=x6qd1411wyjy"
"Samsung A32","https://es.wallapop.com/item/samsung-a32-870766734","https://es.wallapop.com/app/chat?itemId=8j3ek5kgq8z9"
"Radiador eléctrico 2500W","https://es.wallapop.com/item/radiador-electrico-2500w-870766723","https://es.wallapop.com/app/chat?itemId=ejkknenroyjx"
"BMX old school, neumáticos kenda","https://es.wallapop.com/item/bmx-old-school-neumaticos-kenda-870767202","https://es.wallapop.com/app/chat?itemId=pzprxgx3m463"
"Mudanzas Jordi !!!-!! Mudanzas baratas ","https://es.wallapop.com/item/mudanzas-jordi-mudanzas-baratas-870766968","https://es.wallapop.com/app/chat?itemId=wzy5gxgv4ej5"
