"Название товара","Ссылка на продавца","Ссылка на чат"
"Rodillo para Bicicleta","https://es.wallapop.com/item/rodillo-para-bicicleta-870376767","https://es.wallapop.com/app/chat?itemId=vjrrm41eg8jk"
"Películas vhs","https://es.wallapop.com/item/peliculas-vhs-870377133","https://es.wallapop.com/app/chat?itemId=xzorwx7x75z9"
"Chaleco antibalas hombre","https://es.wallapop.com/item/chaleco-antibalas-hombre-870376613","https://es.wallapop.com/app/chat?itemId=pj950nv4qmze"
"Deportivas ","https://es.wallapop.com/item/deportivas-870376183","https://es.wallapop.com/app/chat?itemId=0j23onq4xn6y"
" Samsung Smart TV 32´´","https://es.wallapop.com/item/samsung-smart-tv-32-870376108","https://es.wallapop.com/app/chat?itemId=qzmy07pe8yzv"
"Funda iPhone 12 ","https://es.wallapop.com/item/funda-iphone-12-870376096","https://es.wallapop.com/app/chat?itemId=e65gd798lkjo"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-870376647","https://es.wallapop.com/app/chat?itemId=ejkknp5mnqjx"
"Renault Kangoo ","https://es.wallapop.com/item/renault-kangoo-870376429","https://es.wallapop.com/app/chat?itemId=qjwpg2qrpgzo"
"Estantería salón marrón oscuro","https://es.wallapop.com/item/estanteria-salon-marron-oscuro-870376430","https://es.wallapop.com/app/chat?itemId=nzx0grqe0pz2"
"dvd Bmw Road Map Profesional 2023 con radares","https://es.wallapop.com/item/dvd-bmw-road-map-profesional-2023-con-radares-870377120","https://es.wallapop.com/app/chat?itemId=wzy5gyqyqxj5"
"Alquiler","https://es.wallapop.com/item/alquiler-870376573","https://es.wallapop.com/app/chat?itemId=mzn87w03e7zn"
"Falda terciopelo con flecos ","https://es.wallapop.com/item/falda-terciopelo-con-flecos-870376474","https://es.wallapop.com/app/chat?itemId=pzprxdwkk563"
"Ps4 Slim 9.0","https://es.wallapop.com/item/ps4-slim-9-0-870376552","https://es.wallapop.com/app/chat?itemId=w67ynxkvk56x"
"FIFA 23 ","https://es.wallapop.com/item/fifa-23-870376529","https://es.wallapop.com/app/chat?itemId=qjwpg2qr7wzo"
