"Название товара","Ссылка на продавца","Ссылка на чат"
"vendo o cambio por IPhone 11 doy encime ","https://es.wallapop.com/item/vendo-o-cambio-por-iphone-11-doy-encime-870011448","https://es.wallapop.com/app/chat?itemId=e65gdqq0dmjo"
"París","https://es.wallapop.com/item/paris-870013950","https://es.wallapop.com/app/chat?itemId=pzprxkd8nk63"
"Muñecos Patrulla canina ","https://es.wallapop.com/item/munecos-patrulla-canina-870013938","https://es.wallapop.com/app/chat?itemId=4z41280opmzy"
"Correpasillos(los dos 80 euros)","https://es.wallapop.com/item/correpasillos-los-dos-80-euros-870013264","https://es.wallapop.com/app/chat?itemId=v6g23pp855ze"
"sillita de bebe coche. ixofix","https://es.wallapop.com/item/sillita-de-bebe-coche-ixofix-870013257","https://es.wallapop.com/app/chat?itemId=xzorwggem7z9"
"Libro Divertí Guay","https://es.wallapop.com/item/libro-diverti-guay-870013252","https://es.wallapop.com/app/chat?itemId=w67ynvvq5y6x"
"libro para dibujar dinosaurios","https://es.wallapop.com/item/libro-para-dibujar-dinosaurios-870011737","https://es.wallapop.com/app/chat?itemId=pj95044okkze"
"cintas vhs","https://es.wallapop.com/item/cintas-vhs-870011732","https://es.wallapop.com/app/chat?itemId=qzmy0mmrglzv"
"sillon Nolmyra","https://es.wallapop.com/item/sillon-nolmyra-870013820","https://es.wallapop.com/app/chat?itemId=wzy5grye82j5"
"Cazadora de entretiempo Kiabi","https://es.wallapop.com/item/cazadora-de-entretiempo-kiabi-870013807","https://es.wallapop.com/app/chat?itemId=p61ym8592565"
"MESA COMEDOR ","https://es.wallapop.com/item/mesa-comedor-870011665","https://es.wallapop.com/app/chat?itemId=wzvndggmwrjl"
"vestido corto estampado","https://es.wallapop.com/item/vestido-corto-estampado-870011646","https://es.wallapop.com/app/chat?itemId=8z84p88xm863"
"Cesto de mimbre","https://es.wallapop.com/item/cesto-de-mimbre-870013602","https://es.wallapop.com/app/chat?itemId=pzprxkd8k463"
"samsung galaxy s20 FE 5G 128 gb","https://es.wallapop.com/item/samsung-galaxy-s20-fe-5g-128-gb-870012140","https://es.wallapop.com/app/chat?itemId=v6g23pp9xlze"
"El señor se los anillos Wii","https://es.wallapop.com/item/el-senor-se-los-anillos-wii-870012133","https://es.wallapop.com/app/chat?itemId=xzorwgg54wz9"
"Xiaomi redmi note 8 pro","https://es.wallapop.com/item/xiaomi-redmi-note-8-pro-870013430","https://es.wallapop.com/app/chat?itemId=nzx0gee33pz2"
"Puerta de aluminio ","https://es.wallapop.com/item/puerta-de-aluminio-870013375","https://es.wallapop.com/app/chat?itemId=nz0018875rzo"
"cortinas salon","https://es.wallapop.com/item/cortinas-salon-870013999","https://es.wallapop.com/app/chat?itemId=nz0018r97rzo"
"Taburetes de bar","https://es.wallapop.com/item/taburetes-de-bar-870013981","https://es.wallapop.com/app/chat?itemId=xzorwgxkywz9"
"Patín eléctrico ","https://es.wallapop.com/item/patin-electrico-870013874","https://es.wallapop.com/app/chat?itemId=pzprxkd84963"
"Bolso Michael Kors original","https://es.wallapop.com/item/bolso-michael-kors-original-870013868","https://es.wallapop.com/app/chat?itemId=wzy5grye12j5"
"Mesa escritorio blanco y roble 139x93x75 cm","https://es.wallapop.com/item/mesa-escritorio-blanco-y-roble-139x93x75-cm-870013845","https://es.wallapop.com/app/chat?itemId=3zl1pm0ewqjx"
"saxofono alto ","https://es.wallapop.com/item/saxofono-alto-870013835","https://es.wallapop.com/app/chat?itemId=0j23o8n92e6y"
"Reloj Tissot ","https://es.wallapop.com/item/reloj-tissot-870012170","https://es.wallapop.com/app/chat?itemId=8z84p88m7163"
"CAMA IKEA 200X140","https://es.wallapop.com/item/cama-ikea-200x140-870012175","https://es.wallapop.com/app/chat?itemId=nz001885erzo"
"TV LG 42 PULGADAS. ","https://es.wallapop.com/item/tv-lg-42-pulgadas-870013462","https://es.wallapop.com/app/chat?itemId=4z41280oowzy"
"Mando Vodafone ","https://es.wallapop.com/item/mando-vodafone-870013455","https://es.wallapop.com/app/chat?itemId=p61ym8599265"
"Colección YUPI","https://es.wallapop.com/item/coleccion-yupi-870013442","https://es.wallapop.com/app/chat?itemId=x6qd1qvllyjy"
"Freidora de aire Ufesa duet 2 l","https://es.wallapop.com/item/freidora-de-aire-ufesa-duet-2-l-870013573","https://es.wallapop.com/app/chat?itemId=mzn873w427zn"
"Puertas de cristal para armario","https://es.wallapop.com/item/puertas-de-cristal-para-armario-870013570","https://es.wallapop.com/app/chat?itemId=8z84p85vkr63"
"Pack de juegos ps4","https://es.wallapop.com/item/pack-de-juegos-ps4-870013520","https://es.wallapop.com/app/chat?itemId=wzy5grye7xj5"
"Mono patín ","https://es.wallapop.com/item/mono-patin-870013501","https://es.wallapop.com/app/chat?itemId=mzn873w4l7zn"
"Patinete Eléctrico SmartGyro Speedway","https://es.wallapop.com/item/patinete-electrico-smartgyro-speedway-870012871","https://es.wallapop.com/app/chat?itemId=ejkknmm12pjx"
"lavadora a estrenar","https://es.wallapop.com/item/lavadora-a-estrenar-870012869","https://es.wallapop.com/app/chat?itemId=3zl1pmmoe8jx"
"congelador ","https://es.wallapop.com/item/congelador-870012859","https://es.wallapop.com/app/chat?itemId=0j23o880mv6y"
"HORQUILLA BTT 29""","https://es.wallapop.com/item/horquilla-btt-29-870012864","https://es.wallapop.com/app/chat?itemId=v6g23pp8mmze"
"Patsy -Bohemian shoes","https://es.wallapop.com/item/patsy-bohemian-shoes-870012852","https://es.wallapop.com/app/chat?itemId=w67ynvvmq96x"
"Casco de esquí Wetze","https://es.wallapop.com/item/casco-de-esqui-wetze-870011394","https://es.wallapop.com/app/chat?itemId=8z84p88xrd63"
"caballito chico","https://es.wallapop.com/item/caballito-chico-870013695","https://es.wallapop.com/app/chat?itemId=ejkknmp2dqjx"
"COJÍN VISCOLÁSTICO ANATÓMICO NUEVO","https://es.wallapop.com/item/cojin-viscolastico-anatomico-nuevo-870011364","https://es.wallapop.com/app/chat?itemId=v6g23pplenze"
"Sudadera Lacoste XS ","https://es.wallapop.com/item/sudadera-lacoste-xs-870011360","https://es.wallapop.com/app/chat?itemId=9jd21wwlen6k"
"Colección libros gallego","https://es.wallapop.com/item/coleccion-libros-gallego-870011327","https://es.wallapop.com/app/chat?itemId=nz00188qr7zo"
"Libro ""Calla, Cándida, Calla"" ","https://es.wallapop.com/item/libro-calla-candida-calla-870012325","https://es.wallapop.com/app/chat?itemId=mzn8733rg7zn"
"Mecedora bebé ","https://es.wallapop.com/item/mecedora-bebe-870012308","https://es.wallapop.com/app/chat?itemId=qzmy0mmqglzv"
"TATAMI PUZZLE","https://es.wallapop.com/item/tatami-puzle-870011539","https://es.wallapop.com/app/chat?itemId=36exm55l4yzd"
"sudadera de naruto","https://es.wallapop.com/item/sudadera-de-naruto-870012949","https://es.wallapop.com/app/chat?itemId=mzn87339v7zn"
"cómoda ","https://es.wallapop.com/item/comoda-870012946","https://es.wallapop.com/app/chat?itemId=8z84p88ygr63"
