"Название товара","Ссылка на продавца","Ссылка на чат"
"Iphone 11 pro max 256GB","https://es.wallapop.com/item/iphone-11-pro-max-256gb-872072481","https://es.wallapop.com/app/chat?itemId=xzorwo0y47z9"
"cuna rosa","https://es.wallapop.com/item/cuna-rosa-872072215","https://es.wallapop.com/app/chat?itemId=36exmgv358zd"
"Casa en alquiler","https://es.wallapop.com/item/casa-en-alquiler-872072179","https://es.wallapop.com/app/chat?itemId=p61ym1dpyg65"
"Mamparas correderas baño ","https://es.wallapop.com/item/mamparas-correderas-bano-872072178","https://es.wallapop.com/app/chat?itemId=nzx0gv9107z2"
"cosina industrial ","https://es.wallapop.com/item/cosina-industrial-872072165","https://es.wallapop.com/app/chat?itemId=wzvndv3wn4jl"
"gubias talla madera","https://es.wallapop.com/item/gubias-talla-madera-872072268","https://es.wallapop.com/app/chat?itemId=wzy5gv9mxvj5"
"Lavadora Balay 3TS60107

","https://es.wallapop.com/item/lavadora-balay-3ts60107-872071235","https://es.wallapop.com/app/chat?itemId=0j23oke5oe6y"
"Colección completa de Stephen King. 29 libros","https://es.wallapop.com/item/coleccion-completa-de-stephen-king-29-libros-872072083","https://es.wallapop.com/app/chat?itemId=0j23oke09v6y"
"Placas televisión Thomson.","https://es.wallapop.com/item/placas-television-thomson-872072308","https://es.wallapop.com/app/chat?itemId=qzmy01nqvyzv"
"Juego Café sXIX Asturias Oviedo","https://es.wallapop.com/item/juego-cafe-sxix-asturias-oviedo-872072303","https://es.wallapop.com/app/chat?itemId=nz001xdny7zo"
"Garmin Forerunner 310XT","https://es.wallapop.com/item/garmin-forerunner-310xt-872073122","https://es.wallapop.com/app/chat?itemId=8z84p9eyx163"
