"Название товара","Ссылка на продавца","Ссылка на чат"
"Samsung Galaxy J4+","https://es.wallapop.com/item/samsung-galaxy-j4-869355618","https://es.wallapop.com/app/chat?itemId=x6qd1dvx5ejy"
"Lavabo 2 senos de piedra","https://es.wallapop.com/item/lavabo-2-senos-de-piedra-869355619","https://es.wallapop.com/app/chat?itemId=vjrrmr41nwjk"
"Camara vigila bebes ","https://es.wallapop.com/item/camara-vigila-bebes-869354570","https://es.wallapop.com/app/chat?itemId=8z84p45wg163"
"Son distintos cuadros del museo Benedicto ","https://es.wallapop.com/item/son-distintos-cuadros-del-museo-benedicto-869355461","https://es.wallapop.com/app/chat?itemId=pj9505nvpmze"
"Casita de madera con muebles","https://es.wallapop.com/item/casita-de-madera-con-muebles-869355457","https://es.wallapop.com/app/chat?itemId=xzorwrx7mlz9"
"aspirador pequeño ","https://es.wallapop.com/item/aspirador-pequeno-869355426","https://es.wallapop.com/app/chat?itemId=pzprxrdwm463"
"Chándal nike tech","https://es.wallapop.com/item/chandal-nike-tech-869353722","https://es.wallapop.com/app/chat?itemId=8z84p4580d63"
"colgador de llaves","https://es.wallapop.com/item/colgador-de-llaves-869353711","https://es.wallapop.com/app/chat?itemId=0j23o3n8dn6y"
"Sabatos Nike ","https://es.wallapop.com/item/sabatos-nike-869355480","https://es.wallapop.com/app/chat?itemId=qzmy0y7pdgzv"
"estanteria","https://es.wallapop.com/item/estanteria-869355484","https://es.wallapop.com/app/chat?itemId=9jd2128e026k"
"equipo de musica","https://es.wallapop.com/item/equipo-de-musica-869355471","https://es.wallapop.com/app/chat?itemId=ejkknkp57qjx"
"Lavadora seminueva","https://es.wallapop.com/item/lavadora-seminueva-869355657","https://es.wallapop.com/app/chat?itemId=xzorwrxdk7z9"
"Asiento XT 600 Tenere","https://es.wallapop.com/item/asiento-xt-600-tenere-869355711","https://es.wallapop.com/app/chat?itemId=0j23o3ngyd6y"
"Pantalla LED NICREW ","https://es.wallapop.com/item/pantalla-led-nicrew-869355696","https://es.wallapop.com/app/chat?itemId=e65gdg7rymjo"
"Se vende un tablets.","https://es.wallapop.com/item/se-vende-un-tablets-869355836","https://es.wallapop.com/app/chat?itemId=9jd2128m8l6k"
"Radio coche ","https://es.wallapop.com/item/radio-coche-869355084","https://es.wallapop.com/app/chat?itemId=9jd2128ed46k"
"MANDO PS4 (NUEVO)","https://es.wallapop.com/item/mando-ps4-869355076","https://es.wallapop.com/app/chat?itemId=w67ynyxk8y6x"
"Derecho Constitucional Español Vol.I","https://es.wallapop.com/item/derecho-constitucional-espanol-vol-i-869355073","https://es.wallapop.com/app/chat?itemId=mzn878w04gzn"
"clases de ingles","https://es.wallapop.com/item/clases-de-ingles-869355974","https://es.wallapop.com/app/chat?itemId=pzprxrd5xm63"
"CUADROS GRIEGOS.","https://es.wallapop.com/item/cuadros-griegos-869355964","https://es.wallapop.com/app/chat?itemId=v6g232ok32ze"
"Gorra de los New York","https://es.wallapop.com/item/gorra-de-los-new-york-869355416","https://es.wallapop.com/app/chat?itemId=v6g232oer7ze"
"Nevera combi","https://es.wallapop.com/item/nevera-combi-869355401","https://es.wallapop.com/app/chat?itemId=mzn878w07kzn"
"Bolso pañalera","https://es.wallapop.com/item/bolso-panalera-869355396","https://es.wallapop.com/app/chat?itemId=e65gdg79d2jo"
"Lampara","https://es.wallapop.com/item/lampara-869355384","https://es.wallapop.com/app/chat?itemId=9jd2128e1d6k"
"armario ikea","https://es.wallapop.com/item/armario-ikea-869356066","https://es.wallapop.com/app/chat?itemId=x6qd1dvngnjy"
"candelabro de hierro con pie","https://es.wallapop.com/item/candelabro-de-hierro-con-pie-869356054","https://es.wallapop.com/app/chat?itemId=nzx0g0rmn1z2"
"Módulo pantalla Carplay wifi","https://es.wallapop.com/item/modulo-pantalla-carplay-wifi-869355563","https://es.wallapop.com/app/chat?itemId=36exmx8elvzd"
"repartidor ","https://es.wallapop.com/item/repartidor-869355226","https://es.wallapop.com/app/chat?itemId=pzprxrdwk563"
"Cofradía Santa Marta","https://es.wallapop.com/item/cofradia-santa-marta-869355190","https://es.wallapop.com/app/chat?itemId=x6qd1dvxd5jy"
"skateboard","https://es.wallapop.com/item/skateboard-869354200","https://es.wallapop.com/app/chat?itemId=e65gdg77ekjo"
"SAMSUNG GALAXY A51 para piezas ","https://es.wallapop.com/item/samsung-galaxy-a51-para-piezas-869354190","https://es.wallapop.com/app/chat?itemId=x6qd1dvvwqjy"
"Nike mercurial fútbol sala","https://es.wallapop.com/item/nike-mercurial-futbol-sala-869355257","https://es.wallapop.com/app/chat?itemId=xzorwrx7x4z9"
"Vendo TODO","https://es.wallapop.com/item/vendo-todo-869355237","https://es.wallapop.com/app/chat?itemId=pj9505nv4oze"
"Vendo batería de coche prácticamente nueva","https://es.wallapop.com/item/vendo-bateria-de-coche-practicamente-nueva-869355367","https://es.wallapop.com/app/chat?itemId=vjrrmr41v4jk"
"reformas y construcciones j&g","https://es.wallapop.com/item/reformas-y-construcciones-j-g-869355340","https://es.wallapop.com/app/chat?itemId=v6g232oev2ze"
"Bolso Chiara Ferragni Nuevo","https://es.wallapop.com/item/bolso-chiara-ferragni-nuevo-869355782","https://es.wallapop.com/app/chat?itemId=8j3ekep24lz9"
"piaggio zip 9000 km","https://es.wallapop.com/item/piaggio-zip-9000-km-869355767","https://es.wallapop.com/app/chat?itemId=vjrrmr4prljk"
"JUEGOS DE PSVITA","https://es.wallapop.com/item/juegos-de-psvita-869353464","https://es.wallapop.com/app/chat?itemId=v6g232opgmze"
"Cazadora gris","https://es.wallapop.com/item/cazadora-gris-869353447","https://es.wallapop.com/app/chat?itemId=ejkknkpmkpjx"
"ESTORES","https://es.wallapop.com/item/estores-869353608","https://es.wallapop.com/app/chat?itemId=qzmy0y7mngzv"
"Martillo chapear marqueteria","https://es.wallapop.com/item/martillo-chapear-marqueteria-869353606","https://es.wallapop.com/app/chat?itemId=nzx0g0rem1z2"
"Cuna Bebé ","https://es.wallapop.com/item/cuna-bebe-869353592","https://es.wallapop.com/app/chat?itemId=wzy5g5yroxj5"
"ZAPATILLAS NIKE ","https://es.wallapop.com/item/zapatillas-nike-869353572","https://es.wallapop.com/app/chat?itemId=e65gdg7q92jo"
"Gta5 ps4","https://es.wallapop.com/item/gta5-ps4-869355527","https://es.wallapop.com/app/chat?itemId=nz0010ryk7zo"
"pantallas,teclado y torre","https://es.wallapop.com/item/pantallas-teclado-y-torre-869355887","https://es.wallapop.com/app/chat?itemId=36exmx8oeqzd"
"SE VENDE ACORDEON ","https://es.wallapop.com/item/se-vende-acordeon-869355886","https://es.wallapop.com/app/chat?itemId=4z41210rqwzy"
"Wilson blade 100L v7.0","https://es.wallapop.com/item/wilson-blade-100l-v7-0-869355874","https://es.wallapop.com/app/chat?itemId=pzprxrd5w563"
"Se vende monitor Gaming/oficina","https://es.wallapop.com/item/se-vende-monitor-gaming-oficina-869355870","https://es.wallapop.com/app/chat?itemId=8z84p45r2863"
