"Название товара","Ссылка на продавца","Ссылка на чат"
"reloj inteligente amazfit","https://es.wallapop.com/item/reloj-inteligente-amazfit-873143425","https://es.wallapop.com/app/chat?itemId=mzn87qke4gzn"
"nes mini","https://es.wallapop.com/item/nes-mini-873143381","https://es.wallapop.com/app/chat?itemId=xzorwq47y2z9"
"2 mandos de garaje programables","https://es.wallapop.com/item/2-mandos-de-garaje-programables-873143693","https://es.wallapop.com/app/chat?itemId=3zl1pr2d58jx"
"Póster a doble cara/Iron Maiden ","https://es.wallapop.com/item/poster-a-doble-cara-iron-maiden-873143659","https://es.wallapop.com/app/chat?itemId=0j23od7gqv6y"
"Elíptica Tunturi Platinum ","https://es.wallapop.com/item/eliptica-tunturi-platinum-873142524","https://es.wallapop.com/app/chat?itemId=e65gd51pr2jo"
"CAJA REGISTRADORA","https://es.wallapop.com/item/caja-registradora-873142513","https://es.wallapop.com/app/chat?itemId=pj95072xrkze"
"water","https://es.wallapop.com/item/water-873142511","https://es.wallapop.com/app/chat?itemId=0j23od71qm6y"
"Huawei roto para piezas","https://es.wallapop.com/item/huawei-roto-para-piezas-873143719","https://es.wallapop.com/app/chat?itemId=vjrrm85pv4jk"
"Odio el Rosa, historia de Dani y Sara","https://es.wallapop.com/item/odio-el-rosa-historia-de-dani-y-sara-873143910","https://es.wallapop.com/app/chat?itemId=8j3ek9w2n8z9"
"patinete niu kqi3 sport ","https://es.wallapop.com/item/patinete-niu-kqi3-sport-873143782","https://es.wallapop.com/app/chat?itemId=8j3ek9w2l7z9"
"Camiseta oficial selección española ","https://es.wallapop.com/item/camiseta-oficial-seleccion-espanola-873143764","https://es.wallapop.com/app/chat?itemId=v6g23qxkr2ze"
"Converse All Star","https://es.wallapop.com/item/converse-all-star-873142804","https://es.wallapop.com/app/chat?itemId=w67ynpo7my6x"
"columna hidromasaje","https://es.wallapop.com/item/columna-hidromasaje-873142806","https://es.wallapop.com/app/chat?itemId=nzx0g8xw1ez2"
"busco trabajo ","https://es.wallapop.com/item/busco-trabajo-873143952","https://es.wallapop.com/app/chat?itemId=w67ynporm86x"
"Black Soul de Nuria Pradas","https://es.wallapop.com/item/black-soul-de-nuria-pradas-873143166","https://es.wallapop.com/app/chat?itemId=x6qd18gx1qjy"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-873142761","https://es.wallapop.com/app/chat?itemId=pj95072x1vze"
"Plaza garaje zona parque policía Torrent ","https://es.wallapop.com/item/plaza-garaje-zona-parque-policia-torrent-873142747","https://es.wallapop.com/app/chat?itemId=ejkknq3eyyjx"
"vendo mueble macizo","https://es.wallapop.com/item/vendo-mueble-macizo-873143827","https://es.wallapop.com/app/chat?itemId=nz0013p2oezo"
"canapé y colchon ","https://es.wallapop.com/item/canape-y-colchon-873143815","https://es.wallapop.com/app/chat?itemId=36exmk7o48zd"
"Reloj deportivo","https://es.wallapop.com/item/reloj-deportivo-873143810","https://es.wallapop.com/app/chat?itemId=8j3ek9w2dyz9"
"Interruptor de luz y interruptor elecrico golf 5","https://es.wallapop.com/item/interruptor-de-luz-y-interruptor-elecrico-golf-5-873143608","https://es.wallapop.com/app/chat?itemId=qzmy08dv7xzv"
"Trampa para un pintor","https://es.wallapop.com/item/trampa-para-un-pintor-873143598","https://es.wallapop.com/app/chat?itemId=pzprxqe5dk63"
"Estanterías ","https://es.wallapop.com/item/estanterias-873142575","https://es.wallapop.com/app/chat?itemId=nz0013pwx3zo"
"araña carretes Shimano Bigbaitruner xt-A","https://es.wallapop.com/item/arana-carretes-shimano-bigbaitruner-xt-a-873142567","https://es.wallapop.com/app/chat?itemId=vjrrm85ov4jk"
"fajas moldeadoras","https://es.wallapop.com/item/fajas-moldeadoras-873142566","https://es.wallapop.com/app/chat?itemId=x6qd18g42qjy"
"Montana Cans X Heineken Art Basel 2015","https://es.wallapop.com/item/montana-cans-x-heineken-art-basel-2015-873142555","https://es.wallapop.com/app/chat?itemId=p61ym20kdg65"
"Huawei matepad pro 10.8'' 128GB 6RAM","https://es.wallapop.com/item/huawei-matepad-pro-10-8-128gb-6ram-873142552","https://es.wallapop.com/app/chat?itemId=w67ynpo7e56x"
"Perfume","https://es.wallapop.com/item/perfume-873142846","https://es.wallapop.com/app/chat?itemId=8z84p03wyo63"
"Album De Pokemon ORIGINAL ","https://es.wallapop.com/item/album-de-pokemon-original-873142835","https://es.wallapop.com/app/chat?itemId=0j23od71me6y"
