"Название товара","Ссылка на продавца","Ссылка на чат"
"BMW Serie 4 Gran Coupé, como nuevo","https://es.wallapop.com/item/bmw-serie-4-gran-coupe-como-nuevo-870472418","https://es.wallapop.com/app/chat?itemId=x6qd1v3d0yjy"
"PS4 500 G+Mando +16 juegos ","https://es.wallapop.com/item/ps4-500-g-mando--16-juegos-870472415","https://es.wallapop.com/app/chat?itemId=36exm84xyqzd"
"patines de línea marca TIJUANA","https://es.wallapop.com/item/patines-de-linea-marca-tijuana-870472200","https://es.wallapop.com/app/chat?itemId=e65gd7kgemjo"
"chaqueta ","https://es.wallapop.com/item/chaqueta-870472392","https://es.wallapop.com/app/chat?itemId=wzy5gyp5kej5"
"Caja amarilla sminth","https://es.wallapop.com/item/caja-amarilla-sminth-870472384","https://es.wallapop.com/app/chat?itemId=9jd21892p96k"
"VENDO GAFAS VR+2 MANDOS+JUEGO IRON MAN","https://es.wallapop.com/item/vendo-gafas-vr-2-mandos-juego-iron-man-870472371","https://es.wallapop.com/app/chat?itemId=ejkknp7ko9jx"
"Bicicleta mediana","https://es.wallapop.com/item/bicicleta-mediana-870472367","https://es.wallapop.com/app/chat?itemId=vjrrm42r5ljk"
"chaquetón largo de piel de zorro","https://es.wallapop.com/item/chaqueton-largo-de-piel-de-zorro-870472368","https://es.wallapop.com/app/chat?itemId=wzy5gyp5wej5"
"Citroen C4 Picasso 2012","https://es.wallapop.com/item/citroen-c4-picasso-2012-870472545","https://es.wallapop.com/app/chat?itemId=3zl1p0w84njx"
"Caso shark evo-one astor blanco y negro","https://es.wallapop.com/item/caso-shark-evo-one-astor-blanco-y-negro-870472114","https://es.wallapop.com/app/chat?itemId=4z4120910rzy"
"Calculadora científica Casio","https://es.wallapop.com/item/calculadora-cientifica-casio-870472109","https://es.wallapop.com/app/chat?itemId=xzorwxmrx2z9"
"Juegos de PS4 en perfectas condiciones ","https://es.wallapop.com/item/juegos-de-ps4-en-perfectas-condiciones-870472485","https://es.wallapop.com/app/chat?itemId=pj950np53oze"
"ANTIGUEDADES","https://es.wallapop.com/item/antiguedades-870472464","https://es.wallapop.com/app/chat?itemId=v6g23o52dmze"
"Banco de entrenamiento ","https://es.wallapop.com/item/banco-de-entrenamiento-870471881","https://es.wallapop.com/app/chat?itemId=xzorwxmv54z9"
"Todo lo que tienes que saber sobre la vida","https://es.wallapop.com/item/todo-lo-que-tienes-que-saber-sobre-la-vida-870472034","https://es.wallapop.com/app/chat?itemId=8j3ekpdeeyz9"
