"Название товара","Ссылка на продавца","Ссылка на чат"
"Tapis de course","https://fr.wallapop.com/item/tapis-de-course-867486244","https://es.wallapop.com/app/chat?itemId=wzy5vmp5v5j5"
"LEGO <StarWars> Kylo Ren's Tie Silencer [911954]","https://fr.wallapop.com/item/lego-starwars-kylo-ren-s-tie-silencer-911954-862617498","https://es.wallapop.com/app/chat?itemId=pzpr3dvv0463"
"Prof particulier","https://fr.wallapop.com/item/prof-particulier-854980639","https://es.wallapop.com/app/chat?itemId=36exvpqme8zd"
"iPhone 11 mauves","https://fr.wallapop.com/item/iphone-11-mauves-868208566","https://es.wallapop.com/app/chat?itemId=x6qd1l0n25jy"
"iphone xr ","https://fr.wallapop.com/item/iphone-xr-868104822","https://es.wallapop.com/app/chat?itemId=8z84pv9or863"
"SMÅGÖRA Cuna, blanco, 60x120 cm","https://fr.wallapop.com/item/smagora-cuna-blanco-60x120-cm-865161721","https://es.wallapop.com/app/chat?itemId=3zl1xrweq4jx"
"Grande casserole ikea","https://fr.wallapop.com/item/grande-casserole-ikea-784813573","https://es.wallapop.com/app/chat?itemId=mzn8l7pn77zn"
"yassin","https://fr.wallapop.com/item/yassin-630555321","https://es.wallapop.com/app/chat?itemId=3zl901pggnzx"
"Televisión LG ","https://fr.wallapop.com/item/television-lg-798195929","https://es.wallapop.com/app/chat?itemId=qjwpp43o3wzo"
"c'est bien ","https://fr.wallapop.com/item/c-est-bien-860738081","https://es.wallapop.com/app/chat?itemId=xzoro83ky4z9"
"Cover northe face","https://fr.wallapop.com/item/cover-northe-face-785292659","https://es.wallapop.com/app/chat?itemId=0j23yl0ene6y"
"para ordenadores","https://fr.wallapop.com/item/para-ordenadores-868542447","https://es.wallapop.com/app/chat?itemId=ejkknxl0kqjx"
"PS5 STD. horizon Forbidden west pack (825 Go+Disc)","https://fr.wallapop.com/item/ps5-std-horizon-forbidden-west-pack-825-go-disc-869217651","https://es.wallapop.com/app/chat?itemId=nz001v522vzo"
"multicuiseur électrique ","https://fr.wallapop.com/item/multicuiseur-electrique-870483223","https://es.wallapop.com/app/chat?itemId=ejkknp710pjx"
"Yo-Kai Watch Dream","https://fr.wallapop.com/item/yo-kai-watch-dream-860901949","https://es.wallapop.com/app/chat?itemId=mzn8mlnye7zn"
"Lampadaire rose doré","https://fr.wallapop.com/item/lampadaire-rose-dore-870838112","https://es.wallapop.com/app/chat?itemId=9jd21npq0n6k"
"parfum chogan ","https://fr.wallapop.com/item/parfum-chogan-868847864","https://es.wallapop.com/app/chat?itemId=v6g234w5k7ze"
"Shiseido future solution lx soin visage/corps ","https://fr.wallapop.com/item/shiseido-future-solution-lx-soin-visage-corps-861435991","https://es.wallapop.com/app/chat?itemId=vjrrvrpv34jk"
"gorra looney tunes ","https://fr.wallapop.com/item/gorra-looney-tunes-870543529","https://es.wallapop.com/app/chat?itemId=qjwpg2k72ezo"
"Moneda ","https://fr.wallapop.com/item/moneda-867242351","https://es.wallapop.com/app/chat?itemId=nz00x5n1g7zo"
"Airpod 2","https://fr.wallapop.com/item/airpod-2-859495568","https://es.wallapop.com/app/chat?itemId=wzy59m07kxj5"
"Rollers ","https://fr.wallapop.com/item/rollers-857624896","https://es.wallapop.com/app/chat?itemId=e65gekx0ykjo"
"Coffret schleich ","https://fr.wallapop.com/item/coffret-schleich-857627229","https://es.wallapop.com/app/chat?itemId=qjwp95mldkzo"
"Cuisine joué","https://fr.wallapop.com/item/cuisine-joue-864159442","https://es.wallapop.com/app/chat?itemId=x6qd22827njy"
"Adidas Ultraboost 4.0 DNA","https://fr.wallapop.com/item/adidas-ultraboost-4-0-dna-866776615","https://es.wallapop.com/app/chat?itemId=36exglglg8zd"
"PC Asus Aspire One blanc","https://fr.wallapop.com/item/pc-asus-aspire-one-blanc-861065682","https://es.wallapop.com/app/chat?itemId=8j3eoxpwd1z9"
"vendre portable Huawei x9 tre bon état ","https://fr.wallapop.com/item/vendre-portable-huawei-x9-tre-bon-etat-855887950","https://es.wallapop.com/app/chat?itemId=pzpr77erxl63"
"porte clés ","https://fr.wallapop.com/item/porte-cles-864218704","https://es.wallapop.com/app/chat?itemId=w67y9900556x"
