"Название товара","Ссылка на продавца","Ссылка на чат"
"muebles comedor ","https://es.wallapop.com/item/muebles-comedor-869351850","https://es.wallapop.com/app/chat?itemId=pzprxrd1w463"
"lavavajillas para barra de bar","https://es.wallapop.com/item/lavavajillas-para-barra-de-bar-869351834","https://es.wallapop.com/app/chat?itemId=8j3ekepxryz9"
"punto de acceso ","https://es.wallapop.com/item/punto-de-acceso-869351114","https://es.wallapop.com/app/chat?itemId=4z41210vgvzy"
"Sofá tres plazas. ","https://es.wallapop.com/item/sofa-tres-plazas-869352445","https://es.wallapop.com/app/chat?itemId=3zl1p101dpjx"
"Trenca niños 14 años nueva","https://es.wallapop.com/item/trenca-ninos-14-anos-nueva-869352790","https://es.wallapop.com/app/chat?itemId=x6qd1dvml5jy"
"cargador Lenovo original","https://es.wallapop.com/item/cargador-lenovo-original-869352408","https://es.wallapop.com/app/chat?itemId=qzmy0y7ypgzv"
"TRAPSTAR SHOOTERS","https://es.wallapop.com/item/trapstar-shooters-869352390","https://es.wallapop.com/app/chat?itemId=x6qd1dvd4qjy"
"bicicleta casco ","https://es.wallapop.com/item/bicicleta-casco-869352863","https://es.wallapop.com/app/chat?itemId=36exmx81nqzd"
"Uñas ","https://es.wallapop.com/item/unas-869350381","https://es.wallapop.com/app/chat?itemId=xzorwrxknwz9"
"Se Vende Kymco Agility 125","https://es.wallapop.com/item/se-vende-kymco-agility-125-869350371","https://es.wallapop.com/app/chat?itemId=ejkknkp2l9jx"
"Cinta de andar","https://es.wallapop.com/item/cinta-de-andar-869350668","https://es.wallapop.com/app/chat?itemId=wzy5g5ylxvj5"
"Vendo Samsung S10","https://es.wallapop.com/item/vendo-samsung-s10-869350657","https://es.wallapop.com/app/chat?itemId=xzorwrxl3lz9"
"cuadros Soap","https://es.wallapop.com/item/cuadros-soap-869352115","https://es.wallapop.com/app/chat?itemId=36exmx8nlyzd"
"Funda iphone 11","https://es.wallapop.com/item/funda-iphone-11-869352507","https://es.wallapop.com/app/chat?itemId=p61ymy5ym765"
"cuadros","https://es.wallapop.com/item/cuadros-869352643","https://es.wallapop.com/app/chat?itemId=vjrrmr4rgwjk"
"MUEBLE SALÓN ","https://es.wallapop.com/item/mueble-salon-869352315","https://es.wallapop.com/app/chat?itemId=36exmx8x1nzd"
"Víbora Black Mamba","https://es.wallapop.com/item/vibora-black-mamba-869352746","https://es.wallapop.com/app/chat?itemId=8z84p454y163"
"Bmw Serie 1 2011","https://es.wallapop.com/item/bmw-serie-1-2011-869351285","https://es.wallapop.com/app/chat?itemId=pj9505nyrmze"
"Portátil Toshiba","https://es.wallapop.com/item/portatil-toshiba-869351264","https://es.wallapop.com/app/chat?itemId=v6g232o4e7ze"
