"Название товара","Ссылка на продавца","Ссылка на чат"
"varil","https://es.wallapop.com/item/varil-869130423","https://es.wallapop.com/app/chat?itemId=ejkkn9q41qjx"
"Una batidora ","https://es.wallapop.com/item/una-batidora-869128675","https://es.wallapop.com/app/chat?itemId=nz001vl7nezo"
"Guantes y espinilleras de boxeo\muai thai ","https://es.wallapop.com/item/guantes-y-espinilleras-de-boxeo-muai-thai-869128642","https://es.wallapop.com/app/chat?itemId=x6qd19orpnjy"
"Freidora Qilive","https://es.wallapop.com/item/freidora-qilive-869129331","https://es.wallapop.com/app/chat?itemId=p61ym72vo765"
"zapatos diadora","https://es.wallapop.com/item/zapatos-diadora-869129328","https://es.wallapop.com/app/chat?itemId=w67yngp3d86x"
"ooo","https://es.wallapop.com/item/ooo-869127936","https://es.wallapop.com/app/chat?itemId=9jd215ro9d6k"
"PORTATIL LENOVO IDEAPAD (Como nuevo)","https://es.wallapop.com/item/portatil-lenovo-ideapad-como-nuevo-869130321","https://es.wallapop.com/app/chat?itemId=3zl1p9rgynjx"
"cabecero y pies de cama madera (años 60)","https://es.wallapop.com/item/cabecero-y-pies-de-cama-madera-anos-60-869130808","https://es.wallapop.com/app/chat?itemId=qzmy03838xzv"
"iPhone 11 64gb","https://es.wallapop.com/item/iphone-11-64gb-869130803","https://es.wallapop.com/app/chat?itemId=nz001v3v3dzo"
"horno pizza mini industrial ","https://es.wallapop.com/item/horno-pizza-mini-industrial-869128349","https://es.wallapop.com/app/chat?itemId=mzn87vx902zn"
"Botas piel Panama Jack","https://es.wallapop.com/item/botas-piel-panama-jack-869129483","https://es.wallapop.com/app/chat?itemId=0j23ordw1e6y"
"Converse originales de piel","https://es.wallapop.com/item/converse-originales-de-piel-869128178","https://es.wallapop.com/app/chat?itemId=nzx0gyp355z2"
"Controladora dj DDJ200","https://es.wallapop.com/item/controladora-dj-ddj200-869128150","https://es.wallapop.com/app/chat?itemId=pzprx1mv8l63"
"cama articulada","https://es.wallapop.com/item/cama-articulada-869128148","https://es.wallapop.com/app/chat?itemId=e65gd3l4m0jo"
"Volkswagen Golf 2018","https://es.wallapop.com/item/volkswagen-golf-2018-869128108","https://es.wallapop.com/app/chat?itemId=qzmy03wq2yzv"
"Cama con dosel","https://es.wallapop.com/item/cama-con-dosel-869128070","https://es.wallapop.com/app/chat?itemId=8z84pgloml63"
"Escritorio","https://es.wallapop.com/item/escritorio-869129047","https://es.wallapop.com/app/chat?itemId=ejkkn9q20pjx"
"mesa de comedor extensible ","https://es.wallapop.com/item/mesa-de-comedor-extensible-869130197","https://es.wallapop.com/app/chat?itemId=mzn87vqlx2zn"
"Puerta de seguridad rejas","https://es.wallapop.com/item/puerta-de-seguridad-rejas-869130156","https://es.wallapop.com/app/chat?itemId=qzmy038411zv"
"Carro gemelar","https://es.wallapop.com/item/carro-gemelar-869129082","https://es.wallapop.com/app/chat?itemId=8j3ekx9v91z9"
"Sofá cama +  chaise longue","https://es.wallapop.com/item/sofa-cama---chaise-longue-869128441","https://es.wallapop.com/app/chat?itemId=wzvndl5xdrjl"
"Sofá extraíble ","https://es.wallapop.com/item/sofa-extraible-869128377","https://es.wallapop.com/app/chat?itemId=qjwpgdnm1qzo"
"Sudadera Kelme 1997-1998 Real Madrid original","https://es.wallapop.com/item/sudadera-kelme-1997-1998-real-madrid-original-869129739","https://es.wallapop.com/app/chat?itemId=36exmnkdynzd"
"Carpintero ","https://es.wallapop.com/item/carpintero-869130642","https://es.wallapop.com/app/chat?itemId=x6qd19894ejy"
"Vespa 125cc","https://es.wallapop.com/item/vespa-125cc-869130620","https://es.wallapop.com/app/chat?itemId=wzy5g787y2j5"
"Conjunto de sofa y sillon","https://es.wallapop.com/item/conjunto-de-sofa-y-sillon-869129594","https://es.wallapop.com/app/chat?itemId=8z84pg0qp163"
"Lego stars wars 75085","https://es.wallapop.com/item/lego-stars-wars-75085-869129265","https://es.wallapop.com/app/chat?itemId=wzvndl89xqjl"
"BICICLETA ORBEA ALMA M25","https://es.wallapop.com/item/bicicleta-orbea-alma-m25-869129224","https://es.wallapop.com/app/chat?itemId=e65gd35mwkjo"
"PS4 500gb + disco duro externo de 1 tb + Mando","https://es.wallapop.com/item/ps4-500gb---disco-duro-externo-de-1-tb---mando-869129205","https://es.wallapop.com/app/chat?itemId=qjwpgd8lokzo"
"canapé ","https://es.wallapop.com/item/canape-869130087","https://es.wallapop.com/app/chat?itemId=36exmnkwekzd"
"Adidas metalbone 3.2 HRD 2023","https://es.wallapop.com/item/adidas-metalbone-3-2-hrd-869130068","https://es.wallapop.com/app/chat?itemId=wzy5g78nx2j5"
"Zapatilla ellesse mujer ","https://es.wallapop.com/item/zapatilla-ellesse-mujer-869130040","https://es.wallapop.com/app/chat?itemId=v6g231q4o5ze"
"playeras air force ","https://es.wallapop.com/item/playeras-air-force-869130029","https://es.wallapop.com/app/chat?itemId=qjwpgd8y24zo"
"tv LGsmart 49 pulgada como nueva con su mando ","https://es.wallapop.com/item/tv-lgsmart-49-pulgada-como-nueva-con-su-mando-869130537","https://es.wallapop.com/app/chat?itemId=pj950g7g5vze"
"Vela Goya Bounce 2019 4.2","https://es.wallapop.com/item/vela-goya-bounce-2019-4-2-869130530","https://es.wallapop.com/app/chat?itemId=nzx0gy8y05z2"
